estandar	dialectal	whisper
Pimientos	Pimientos	pimientos,
gordos	gordos	gordos,
~,	~,	e
peró	peró	pionos,
los	los	pimientos
pimientos	pimientos	rojos,
~…	~…	gordos
rojos	rojos	y
~,	~,	las
gordos	gordos	ambregenas.
~.	~.	Todo
Y	Y	esto
las	las	tú
berenjenas	berenjenas	lo
~.	~.	haces
[HS:E1	[HS:E1	con
		[Asent]			[Asent]	correjo
~.	~.	y
		]			]	es
Todo	Todo	buenísimo.
esto	esto	Esto
tú	tú	también
lo	lo	es
haces	haces	bueno
con	con	sin
~…	~…	carne
conejo	conejo	y
y	y	decíamos
es	es	que
buenísimo	buenísimo	era
~.	~.	la
Esto	Esto	champagne
también	también	deuda,
es	es	porque
bueno	bueno	no
sin	sin	tenía
carne	carne	carne.
y	y	No
si	si	tenía
~…	~…	carne.
~,	~,	No
y	y	tenía
decíamos	decíamos	carne.
que	que	Sí.
era	era	Y
la	la	después
chanfaina	chanfaina	con
viuda	viuda	el
~.	~.	conejo
[HS:E1	[HS:E1	se
		[Asent]			[Asent]	hace
~.	~.	también
		]			]	con
[RISA]	[RISA]	amendrá.
[Rndo:	[Rndo:	O
		Viuda			Viuda	sea,
porque	porque	el
no	no	conejo
tenía	tenía	tú
carne	carne	lo
~.	~.	pones
		]			]	en
[HS:E1	[HS:E1	la
		No			No	cazuela
tenía	tenía	de
carne	carne	la
~.	~.	vuelta
		]			]	porque
No	No	quede
tenía	tenía	doradito,
carne	carne	un
~.	~.	poquito
Sí	Sí	de
~.	~.	doradito.
Y	Y	Y
después	después	nosotros
el	el	como
~,	~,	que
el	el	teníamos
conejo	conejo	vino
se	se	y
hace	hace	vino
también	también	muy
con	con	bueno
almendra	almendra	le
~.	~.	ponía
O	O	cuando
sea	sea	empezaba
~,	~,	ya
el	el	de
conejo	conejo	tener
tú	tú	color,
lo	lo	le
pones	pones	tirábamos
a	a	un
~,	~,	que
a	a	te
~,	~,	diría
en	en	unos
la	la	dos
cazuela	cazuela	de
dándole	dándole	un
vueltas	vueltas	vaso,
porque	porque	un
quede	quede	poquito
doradito	doradito	así
~,	~,	que
un	un	te
poquitín	poquitín	diría
do-	do-	una
~,	~,	cosa
doradito	doradito	así,
~.	~.	así
Y	Y	de
nosotros	nosotros	vino.
como	como	Es
que	que	por
teníamos	teníamos	aquí
vino	vino	abajo.
y	y	Y
vino	vino	hacia
muy	muy	chiu
bueno	bueno	y
le	le	un
ponían	ponían	olor.
~,	~,	Porque
cua-	cua-	aquí
~,	~,	el
cuando	cuando	vino
empezaba	empezaba	era
ya	ya	que
de	de	tenía
~,	~,	treinta
de	de	años
tener	tener	o
color	color	que
~,	~,	se
le	le	dio
tirábamos	tirábamos	treinta
un	un	y
~,	~,	cinco.
un	un	Porque
~,	~,	lo
un	un	poníamos
~,	~,	en
¿~	¿~	unas
qué	qué	botas
te	te	que
diré	diré	decíamos
yo	yo	nosotros
~?	~?	las
Unos	Unos	botas
dos	dos	y
dedos	dedos	lo
de	de	dejábamos.
un	un	Como
vaso	vaso	quiera
~,	~,	un
un	un	producto
poquito	poquito	era
así	así	recogido
~,	~,	nuestro.
¿~	¿~	Era,
qué	qué	teníamos
te	te	nosotros
diré	diré	el,
yo	yo	como
~?	~?	se
Una	Una	llama
cosa	cosa	para
así	así	hacer
~,	~,	el
así	así	vino.
de	de	La,
vino	vino	si
~,	~,	onda
¿~	¿~	mujer,
ves	ves	a
~?	~?	ver,
Por	Por	el
aquí	aquí	truí,
abajo	bajo	el
~.	~.	truí,
Y	Y	el
hacía	hacía	truí,
~¡~	~¡~	es
chiu	chiu	donde
~!	~!	se,
[ONOMAT]	[ONOMAT]	se
Y	Y	chapa,
un	un	donde
olor	olor	los
~…	~…	los
~,	~,	los
porque	porque	los,
aquel	aquel	los,
vino	vino	los,
era	era	los,
~,	~,	los,
que	que	los,
tenía	tenía	los,
treinta	treinta	los,
años	años	los,
o	o	los,
~…	~…	los,
~,	~,	los,
o	o	los.
~…	~…	Si,
~,	~,	teníamos,
o	o	para
~,	~,	la
o	o	maior,ructures
~,	~,	y
o	o	autores
qué	qué	gayas
sé	sé	y
yo	yo	la
~,	~,	chakra
o	o	de
treinta_y_cinco	treinta_y_cinco
~,	~,
porque	porque
lo	lo
poníamos	poníamos
en	en
unos	unos
~,	~,
en	en
unas	unas
botas	botas
que	que
decíamos	decíamos
nosotros	nosotros
~,	~,
las	las
botas	botas
y	y
lo	lo
dejábamos	dejábamos
como	como
que	que
era	era
un	un
~,	~,
era	era
producto	producto
~,	~,
[OTRAS-EM]	[OTRAS-EM]
era	era
recogido	recogido
nuestro	nuestro
~.	~.
Y	Y
era	era
~,	~,
teníamos	teníamos
nosotros	nosotros
el	el
~,	~,
¿~	¿~
cómo	cómo
se	se
llama	llama
~…	~…
para	para
hacer	hacer
la	la
~…	~…
~,	~,
el	el
vino	vino
~?	~?
La	La
~…	~…
~,	~,
[CHASQ]	[CHASQ]
[A-Inn]	[A-Inn]
~,	~,
mujer	mujer
~,	~,
a	a
ver	ver
~,	~,
[OTRAS-EM]	[OTRAS-EM]
el	el
~…	~…
~,	~,
el	el
[L-Otra:	[L-Otra:
		trui			trui
		]			]
~.	~.
El	El
[L-Otra:	[L-Otra:
		trui			trui
		]			]
~,	~,
el	el
[L-Otra:	[L-Otra:
		trui			trui
		]			]
es	es
donde	donde
se	se
~,	~,
se	se
sa-	sa-
~,	~,
donde	donde
los	los
~,	~,
los	los
~…	~…
~,	~,
los	los
~…	~…
~,	~,
[OTRAS-EM]	[OTRAS-EM]
los	los
~…	~…
~,	~,
los	los
racimos	racimos
~,	~,
racimos	racimos
~.	~.
[HS:E1	[HS:E1
		[OTRAS-EM]			[OTRAS-EM]
		]			]
Si	Si
teníamos	teníamos
~…	~…
para	para
la	la
~…	~…
~,	~,
la	la
[L-Otra:	[L-Otra:
		mola			mola
		]			]
y	y
el	el
~…	~…
