estandar	dialectal	whisper
Pa	Pa	recitar
separar	separar	a
el	el	ver
grano	grano	granos
de	de	de
la	la	la
paja	paja	paja
y	y	y
[HS:E1	[HS:E1	a
		[Asent]			[Asent]	ver
~.	~.	a
		]			]	barrer
a	a	un
la	la	trozo
era	era	de
a	a	horonero
barrer	barrer	no
con	con	me
todo	to	di
el	el	que
solanero	solanero	le
~.	~.	voy
[RISAS]	[RISAS]	a
~¡~	~¡~	contar
Ay	Ay	te
~,	~,	voy
qué	qué	a
le	le	preguntar
voy	voy	más
a	a	bien
contar	contar	lo
~!	~!	deje
[Rndo:	[Rndo:
		si			si
ha	ha
venido	venío
usté	usté
a	a
preguntarme	preguntarme
a	a
mí	mí
~,	~,
a	a
una	una
vieja	vieja
ya	ya
~.	~.
		]			]
