estandar	dialectal	whisper
No	No	pero
~…	~…	porque
~,	~,	no
pero	pero	quisiera,
porque	porque	no
no	no	porque
quise	quise	no
~,	~,	me
no	no	daba,
porque	porque	me
no	no	si
me	me	venía,
daba	daba	me
~…	~…	se
~|	~|	venía
si	si	al
venía	venía	oído
~…	~…	del
~,	~,	metro
[OTRAS-EM]	[OTRAS-EM]	en
venían	venían	buca
los	los	miave,
hijos	hijos	porque
del	del	se
maestro	maestro	me
en	en	daba
busca	busca	un
mía	mía	domedista,
~,	~,	me
~¡~	~¡~	venía,
ay	ay	aquí
~!	~!	me
~,	~,	he
porque	porque	varto
somos	somos	una
dos	dos	medellella,
mellizas	mellizas	le
~:	~:	daba
«~	«~	una
¿~	¿~	medellella,
Ha	Ha	aquí
venío	venío	me
~?	~?	he
~»	~»	varto
~.	~.	una
«~	«~	medellella,
Aquí	Aquí	donde
me	me	está
falta	falta	era
una	una	un
mellicilla	mellicilla	domedista,
~»	~»	yo
~,	~,	lo
le	le	tengo
decía	decía
don	don
	
Anonimizado	Anonimizado
	
~.	~.
«~	«~
Aquí	Aquí
me	me
falta	falta
una	una
mellicilla	mellicilla
~»	~»
~.	~.
Hombre	Hombre
~,	~,
está	está
~…	~…
~|	~|
éramos	éramos
mellizas	mellizas
las	las
dos	dos
~.	~.
