estandar	dialectal	whisper
Yo	Yo	con
no	no	a
~,	~,	mis
yo	yo	llamas
he	he	menos
ido	ido	que
una	una	vamos.
vez	vez	Sí,
~,	~,	bueno.
una	una	Uy,
vez	vez	ganan
he	he	igual.
ido	ido	Hombre
yo	yo	las
de	de	que
una	una	van.
asamblea	asamblea	¿Por
que	que	qué
hubo	hubo	ulas
de	de	que
~,	~,	van?
del	del	Porque
campo	campo	somos
~,	~,	más
que	que	chocas
no	no	¿sabes?
sé	sé	Ah,
lo	lo	chocas.
que	que	No,
~,	~,	porque
que	que	saben
no	no	que
~,	~,	son
de	de	fuertes
las	las	y
aceitunas	acetunas	saben,
o	o	no.
no	no	Mira,
sé	sé	yo
qué	qué	tenía
y	y	uno
estuve	estuve	de
una	una	los
vez	vez	trajeros
~,	~,	que
pero	pero	vienen
ya	ya	aquí
está	está	muy
una	una	chas
vez	vez	y
~.	~.	de...
Mi	Mi	no
~,	~,	lo
mi	mi	sé
hijo	hijo	dónde.
el	el	Y
otro	otro	esa
~,	~,	es
este	este	un
es	es	tío...
mi	mi	como
nieto	nieto	un
~,	~,	tío.
mi	mi	Esa
hijo	hijo	es
si	si	un
ha	ha
ío	ío
ya	ya
~,	~,
ya	ya
unas	unas
cuantas	cuantas
veces	veces
~,	~,
como	como
está	está
él	él
~,	~,
allí	allí
ha	ha
ío	ío
allí	allí
unas	unas
cuantas	cuantas
veces	veces
~.	~.
