estandar	dialectal	whisper
A	A	然後
to	to	azoths
el	el	me
que	que	quedaba
íbamos	íbamos	Lanean
~…	~…	oui10
~,	~,	Me
a	a	quedaseン
to	to	ibbas
el	el	Jant
que	que	No
íbamos	íbamos	te
[R-Mcr]	[R-Mcr]	Creek
nos	nos	No
daban	daban	tengo
~,	~,	nada
no	no	Si
me	me	daba
acuerdo	acuerdo
~,	~,
no	no
era	era
mucho	mucho
~,	~,
pero	pero
pa	pa
nosotros	nosotros
~,	~,
era	era
~,	~,
pues	pues
sí	sí
~.	~.
[A-Crt]	[A-Crt]
[G-Otr]	[G-Otr]
Esta	Esta
es	es
cuando	cuando
se	se
casó	casó
mi	mi
~…	~…
hijo	hijo
~,	~,
yo	yo
no	no
fui	fui
porque	porque
me	me
~…	~…
