estandar	dialectal	whisper
Sí	Sí	Sí,
~,	~,	bueno,
bueno	bueno	precisamente
~,	~,	cuando
precisamente	precisamente	siento
cuando	cuando	yo
~…	~…	alcalde
siendo	siendo	que
yo	yo	he
alcalde	alcalde	sido
~,	~,	la
que	que	función
se	se	con
hizo	hizo	Molina,
la	la	pues
fusión	fusión	ahí
con	con	llegamos,
Molina	Molina	ya
~,	~,	se
pues	pues	firmó
ahí	ahí	tanto
llegamos	llegamos	en
y	y	la
ahí	ahí	alcala
se	se	de
firmó	firmó	Molina
~,	~,	como
tanto	tanto	un
el	el	servidor
alcalde	alcalde	y
de	de	el
Molina	Molina	ayuntamiento
~,	~,	que
como	como	yo
un	un	tenía,
servidor	servidor	las
~,	~,	cagigadas
y	y	que
el	el	se
Ayuntamiento	Ayuntamiento	llaman
que	que	el
ellos	ellos	paraje
tenían	tenían	tenía
~,	~,	que
las	las	ser
Cagigadas	Cagigadas	para
~,	~,	labrarlo,
que	que	los
es	es	vecinos
el	el	del
nom-	nom-	barrio
~,	~,	de
que	que	Molina,
se	se	del
llama	llama	barrio
el	el	y
paraje	paraje	el
~.	~.	fusriamos.
Tenía	Tenía	Hasta
que	que	que
ser	ser	año
para	para	pues
labrarlo	labrarlo	luego
los	los	se
~,	~,	ha
los	los	sido
vecinos	vecinos	un
del	del	escrito
barrio	barrio	también
de	de	como
Molina	Molina	que
~,	~,	tenía
del	del	que
barrio	barrio	estar
de	de	aquí
Cubillejo_del_Sitio	Cubillejo_del_Sitio	porque
~.	~.	claro
Hasta	Hasta	entonces
este	este	todos,
año	año	todos
~,	~,	querían
pues	pues	suerte
luego	luego	y
ya	ya	hubo
se	se	que
hizo	hizo	entre
un	un	los
escrito	escrito	que
también	también	estábamos
como	como	un
que	que	acuerdo
tenían	tenían	que
que	que	tenía
estar	estar	que
aquí	aquí	estar
~,	~,	aquí
porque	porque	siete
~,	~,	meses,
claro	claro	a
~,	~,	ver
entonces	entonces	qué
todos	todos	que
~…	~…	hiciera
todos	todos	suerte,
querían	querían	pero
suerte	suerte	el
~.	~.	año
Y	Y	ya
hubo	hubo	ha
que	que	habido
~,	~,	un
entre	entre	poco
los	los	de
que	que	barra
estábamos	estábamos	justo
~,	~,	y
un	un	ya
acuerdo	acuerdo	no
~,	~,
que	que
tenían	tenían
que	que
estar	estar
aquí	aquí
siete	siete
meses	meses
aquel	aquel
que	que
quisiera	quisiera
suerte	suerte
~.	~.
Pero	Pero
este	este
año	año
~,	~,
este	este
año	año
ya	ya
ha	ha
habido	habido
un	un
poco	poco
desbarajuste	desbarajuste
~,	~,
ya	ya
no	no
reza	reza
como	como
rezaba	rezaba
~.	~.
