estandar	dialectal	whisper
|T11|	|T11|	No
Siempre	Siempre	dejaban
con	con	las
san	san	llaves
Pedro	Pedro	ni
con	con	padiós.
las	las	Y
llaves	llaves	hoy
en	en	lo
la	la	digo,
mano	mano	digo,
~,	~,	mi
no	no	género,
dejaba	dejaba	yo
las	las	ya
llaves	llaves	no
ni	ni	puedo
pa	pa	dejar
Dios	Dios	así.
~,	~,	A
y	y	ver,
voy	voy	cada
y	y	poco
la	la	digo,
digo	digo	me
~,	~,	dan
digo	digo	lletura,
~:	~:	que
«~	«~	no
Mire	Mire	se
usted	usted	me
~»	~»	queda.
~,	~,	¿No
digo	digo	te
~,	~,	puedo
«~	«~	dar?
yo	yo	Me
ya	ya	quedaba
no	no	en
puedo	puedo	el
estar	estar	corte,
así	así	me
~»	~»	quedaba
~,	~,	en
digo	digo	el
~,	~,	corte.
«~	«~	Entonces
a	a	ya
ver	ver	me
~,	~,	fui
gano	gano	a
muy	muy	una
poco	poco	casa.
~»	~»	En
~,	~,	casa
digo	digo	de
~,	~,	un
«~	«~	capitán
me	me	a
dan	dan	la
diez	diez	calle
duros	duros	donde
~»	~»	viven
~,	~,	los
digo	digo	domingues.
~,	~,	¿Cómo
«~	«~	se
si	si	llamas
usted	usted	a
me	me	calle?
los	los	Acaí
da	da	acá
~,	~,	es
me	me	el
quedo	quedo	yo.
~»	~»	En
~.	~.	frente,
Huy	Huy	en
~,	~,	Padaudas
dice	dice	y
~:	~:	los
«~	«~	corales
Yo	Yo	de
~,	~,	Rompo,
yo	yo	queda
no	no	beber
te	te	el
las	las	remunto
puedo	puedo	de
dar	dar	la
~»	~»	Niño
~.	~.	deвин
Digo	Digo	tener
~:	~:	que
«~	«~	sovereign
Pos	Pos	beeping,
yo	yo	y
me	me	a
voy	voy	lauding
~»	~»	ademasos.
~.	~.	Otra
Que	Que	cosa,
lloraba	lloraba	un
~,	~,	pedra
me	me	colo,
acuerdo	acuerdo	ya
que	que	ves,
lloraba	lloraba	sí,
como	como	un
una	una	pedra
magdalena	magdalena
cuando	cuando
yo	yo
me	me
fui	fui
~.	~.
Entonces	Entonces
ya	ya
me	me
fui	fui
a	a
una	una
casa	casa
~,	~,
a	a
casa	casa
de	de
un	un
capitán	capitán
~,	~,
a	a
la	la
calle	calle
donde	donde
viven	viven
los	los
Dominguines	Dominguines
~,	~,
¿~	¿~
cómo	cómo
se	se
llama	llama
esa	esa
calle	calle
~?	~?
La	La
calle	calle
Castellón	Castellón
~,	~,
enfrente	enfrente
estaban	estaban
la	la
~,	~,
los	los
corrales	corrales
de	de
~…	~…
~,	~,
bueno	bueno
~,	~,
hay	hay
~,	~,
unos	unos
jardines	jardines
grandes	grandes
que	que
vivían	vivían
los	los
Dominguines	Dominguines
~,	~,
que	que
los	los
veía	veía
yo	yo
todos	to
los	los
días	días
de	de
torear	torear
ahí	ahí
~,	~,
y	y
allí	allí
me	me
fui	fui
~.	~.
Otra	Otra
como	como
san	san
Pedro	Pedro
con	con
las	las
llaves	llaves
siempre	siempre
colgadas	colgadas
~.	~.
