estandar	dialectal	whisper
Sí	Sí	A
~,	~,	pojar
[HS:E1	[HS:E1	coja
		Cuajada			Cuajada	a
~.	~.	pojo,
		]			]	lo
pa	pa	que
cuajar	cuajar	dice
~,	~,	el
cuajo	cuajo	queка
~,	~,	el
cuajo	cuajo	canal,
~,	~,	que
digamos	digamos	dice
~,	~,	que
que	que	queda
[A-Inn]	[A-Inn]	sin
~,	~,	el
que	que	ma구ach
en	en	нашейternas.
euskera	euskera	Que
se	se	en
llama	llama	la
[L-Otra:	[L-Otra:	prioridad
		gatzagi			gatzagi	hayan
		]			]	sujetatizado
y	y	esta
con	con	saja
aquello	aquello	la
hacíamos	hacíamos
el	el
~,	~,
el	el
queso	queso
y	y
vamos	vamos
está	está
[OTRAS-EM]	[OTRAS-EM]
dejamos	dejamos
colgando	colgando
en	en
la	la
cocina	cocina
durante	durante
unos	unos
cinco	cinco
o	o
seis	seis
meses	meses
hasta	hasta
que	que
se	se
endureciera	endureciera
y	y
luego	luego
se	se
comía	comía
~.	~.
