estandar	dialectal	whisper
|T10|	|T10|	para
Para	Para	que
que	que	no
no	no	se
se	se	perciera.
perdiera	perdiera	En
~…	~…	mandala,
¿~	¿~	en
Eh	Eh	los
~,	~,	pueblos,
mandaba	mandaba	me
~,	~,	mandaba
en	en	más
los	los	el
pueblos	pueblos	curador
~,	~,	al
quién	quién	canso.
mandaba	mandaba	Y
más	más	mira,
el	el	decía
cura	cura	recuerda,
o	o	es
el	el	alguna
alcalde	alcalde	historia
~?	~?	de
Y	Y	alguna
mira	mira
a	a
ver	ver
si	si
recuerdas	recuerdas
alguna	alguna
[HS:I1	[HS:I1
		Sí			Sí
~,	~,
pues	pues
~…	~…
		]			]
historia	historia
de	de
algún	algún
cura	cura
~…	~…
