estandar	dialectal	whisper
Ah	Ah	Bueno,
~,	~,	de
no	no	usted
~,	~,	en
no	no	Euskerá
~,	~,	hablábamos
eso	eso	y
no	no	tampoco
~.	~.	de
[HS:I1	[HS:I1	tú,
		No			No	porque
~,	~,	en
no	no	Euskerá
~.	~.	hay
		]			]	como
Bueno	Bueno	ese
~,	~,	son.
de	de	De
usted	usted	tú
~.	~.	y
En	En	y
euskera	euskera	es
hablábamos	hablábamos	la
y	y	de
~,	~,	tú.
y	y	Y
tampoco	tampoco	es
de	de	la
tú	tú	de
~,	~,	tú.
porque	porque	¿Sabá
en	en
euskera	euskera
hay	hay
~|	~|
¿~	¿~
Cómo	Cómo
es	es
eso	eso
~?	~?
Eh	Eh
~,	~,
[HS:I1	[HS:I1
		De			De
tú	tú
~,	~,
[L-Otra:	[L-Otra:
		hi			hi
~,	~,
hi	hi
		]			]
~.	~.
		]			]
¿~	¿~
[L-Otra:	[L-Otra:
		Hi			Hi
		]			]
es	es
~,	~,
era	era
de	de
tú	tú
~?	~?
[HS:I1	[HS:I1
		[L-Otra:			[L-Otra:
		Hi			Hi
		]			]
era	era
de	de
tú	tú
~,	~,
sí	sí
~.	~.
		]			]
¿~	¿~
Y	Y
de	de
[L-Otra:	[L-Otra:
		hori			hori
		]			]
~?	~?
[HS:I1	[HS:I1
		¿~			¿~
De	De
[L-Otra:	[L-Otra:
		zu			zu
~,	~,
zu	zu
~,	~,
zu	zu
		]			]
~,	~,
será	será
~?	~?
		]			]
Usted	Usted
~,	~,
usted	usted
~.	~.
[HS:I1	[HS:I1
		Usted			Usted
será	será
~.	~.
		]			]
Sí	Sí
~.	~.
¿~	¿~
Y	Y
de	de
[L-Otra:	[L-Otra:
		hori			hori
		]			]
~?	~?
Porque	Porque
hay	hay
tres	tres
veces	veces
~,	~,
[HS:I1	[HS:I1
		Sí			Sí
~.	~.
		]			]
tres	tres
formas	formas
de	de
decir	decir
en	en
euskera	euskera
~.	~.
