estandar	dialectal	whisper
Cerca_de_Roncesvalles	Cerca_de_Roncesvalles	¿No
 	 	había
 	 	pantalón?
 	 	Nada,
 	 	nada,
 	 	nada.
 	 	No,
 	 	nada,
 	 	nos
 	 	habíamos
 	 	habido
 	 	la
 	 	vez
 	 	de
 	 	devarro
 	 	hasta
 	 	la
 	 	rodilla.
 	 	Al
 	 	menos
 	 	los
 	 	puros
 	 	los
 	 	yisos.
 	 	¿No?
 	 	No
 	 	hay
 	 	que
 	 	ver
 	 	por
 	 	aquí.
 	 	¿A
 	 	qué
 	 	le
 	 	pasaba
 	 	el
 	 	típico?
 	 	Loo,
 	 	¿ya
 	 	es?
 	 	¿Ero
 	 	cuánto
 	 	a
 	 	típico?
 	 	¿Poro?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¡¿
 	 	ever?
 	 	¿Cordas
 	 	tranquilo
 	 	así?
 	 	¿No
 	 	hay
 	 	que
 	 	ser
 	 	assistido?
 	 	No
 	 	hay
 	 	que
 	 	ser
 	 	italiano.
 	 	¿Quién
 	 	diu
 	 	el
 	 	antiguo?
 	 	¡A
 	 	retail!
 	 	¿Quién
 	 	diu
 	 	el
 	 	antiguo?
 	 	¿No
 	 	hay
 	 	que
 	 	ser
 	 	benevolente?
 	 	¿Quién
 	 	diu
 	 	el
 	 	antiguo?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿No
 	 	hay
 	 	que
 	 	ser?
 	 	¿A
 	 	del
 	 	elevation
 	 	maestro
 	 	con
 	 	esta
 	 	menor
 	 	polyfalía?
 	 	¿Qué
 	 	pasa,
 	 	ana?
 	 	¿Estás
 	 	pa'
 	 	sociology?
 	 	¿Qué
 	 	pasa,
 	 	ana?
 	 	¿Qué
 	 	pasa,
 	 	ana?
 	 	¿Estás
 	 	podiendo
 	 	строí
 	 	mi
 	 	mano?
 	 	¿Qué
 	 	pasa,
 	 	ana?
 	 	¿Qué
 	 	pasa,
 	 	ana?
 	 	¿Qué
 	 	pasa,
 	 	ana?
 	 	¿Qué
 	 	pasa,
 	 	ana?
 	 	¿Qué
 	 	pasa,
 	 	ana?
 	 	¿Qué
 	 	pasa,
 	 	ana?
 	 	¿Qué
 	 	pasa?pycys
 	 	ARM
 	 	hósil,
 	 	ya
 	 	ya
 	 	Zahlen
 	 	a
 	 	este.
 	 	Este
 	 	a
 	 	finales
 	 	les
 	 	deten
 	 	demás
 	 	ahí,
 	 	nos
 	 	echo
 	 	happened,
 	 	en
 	 	primeroku
 	 	UNA
 	 	SELL
 	 	gang
 	 	Для
 	 	destiengan
 	 	a
 	 	ser
 	 	como
 	 	luz
 	 	en
 	 	camamel
 	 	de
 	 	C
 	 	Hutala
 	 	F
 	 	свои
 	 	vuelven
 	 	a
 	 	veces
