estandar	dialectal	whisper
tú	tú	Yo
vas	vas	sabré
ahora	ahora	hacer
a	a	un
hacer	hacer	mes,
un	un	pasatolosa,
esto	esto	quise
~.	~.	la
Vas	Vas	torusa,
a	a	y
Tolosa	Tolosa	aquella
~,	~,	es
tienes	tienes	la
que	que	misa
ir	ir	fotara.
a	a	En
Tolosa	Tolosa	cambio,
hoy	hoy	si
~.	~.	no
Y	Y	hace
aquel	aquel	aquí,
no	no	es
~,	~,	la
litzartzatarra	litzartzatarra	misa
~.	~.	fotara.
[HS:E1	[HS:E1	Y
		Sí			Sí	entonces
~,	~,	antes
sí	sí	de
~.	~.	solía
		]			]	estar
En	En	preparado,
cambio	cambio	¿verdad?
~,	~,	Ya
si	si	está,
nace	nace	se
aquí	aquí	pago
~,	~,	su
pues	pues	maleta,
es	es	solía
litzartzatarra	litzartzatarra	estar,
~.	~.	¿eh?
[RISAS]	[RISAS]	A
[HS:E1	[HS:E1	mí
		Claro			Claro	todo,
~,	~,	entonces
sí	sí	antes
~,	~,	de
sí	sí	ver
~.	~.	diners,
		]			]	ya
Y	Y	estaba
~,	~,	con
y	y	su
dos	dos
veces	veces
antes	antes
solía	solía
estar	estar
preparao	preparao
~,	~,
eh	eh
~,	~,
aquel	aquel
~,	~,
eh	eh
~.	~.
Y	Y
~,	~,
eh	eh
~,	~,
y	y
ya	ya
está	está
preparao	preparao
su	su
maleta	maleta
~,	~,
solía	solía
estar	estar
~,	~,
eh	eh
~.	~.
A	A
mí	mí
dos	dos
~,	~,
dos	dos
veces	veces
antes	antes
de	de
venir	venir
~,	~,
él	él
ya	ya
~,	~,
ya	ya
estaba	estaba
con	con
su	su
~,	~,
con	con
su	su
hijo	hijo
[RISAS]	[RISAS]
y	y
mi	mi
mujer	mujer
~.	~.
