estandar	dialectal	whisper
¿~	¿~	y
Caer	Caer	hay
~?	~?	todos
[OTRAS-EM]	[OTRAS-EM]	los
da	da	que
la	la	han
vuelta	vuelta	tenido
y	y	accidentes,
ya	ya	les
allí	allí	han
~…	~…	dado
Todo	Todo	la
los	los	vuelta
que	que	y
han	han	se
a-	a-	han
~,	~,	quedado
tenido	tenido	abajo,
accidente	accidente	no
les	les	deja
han	han	tiempo
dao	dao	pasatar,
la	la	está
vuelta	vuelta	dor?
y	y	No,
se	se	no,
han	han	no,
caído	caído	no,
abajo	abajo	había
~.	~.	que
No	No	hacer
~,	~,	eso,
no	no	yo
deja	deja	les
tiempo	tiempo	sube
pa	pa	de
saltar	saltar	mano,
~…	~…	cuidado,
el	el	y
tractor	tractor	luego
~.	~.	yo,
No	No	luego
~,	~,	hay
no	no	otra
~,	~,	máquina,
no	no	pacer
~,	~,	filas,
es	es	ileradora,
así	así	o
~.	~.	sea,
Yo	Yo	que
le	le	deja
suelo	suelo	todo
decir	decir	bien,
a	a	luego
mi	mi	por
hermano	hermano	detrás
~:	~:	con
«~	«~	una
Joé	Joé	máquina
~,	~,	que
cuidao	cuidao	es
~,	~,	pacer
¿~	¿~	paquetes,
eh	eh	en
~?	~?	verdadora,
~»	~»	va
~.	~.	a
Y	Y	ser
~…	~…	la
luego	luego	máquina,
eso	eso	la
~.	~.	máquina
Luego	Luego	se
[OTRAS-EM]	[OTRAS-EM]	ha
hay	hay	hecho
otra	otra	mucho,
máquina	máquina	que
[R-Cas]	[R-Cas]	hay
pa	pa	que
hacer	hacer	andar
~…	~…	mucho
fi-	fi-	cuidado
~,	~,	aquí,
filas	filas	no
~,	~,	es
[OTRAS-EM]	[OTRAS-EM]	como
[A-PIn:	[A-PIn:	un
		hileradora			hileradora	alabado,
		]			]	pero
~,	~,	no
o	o	hayamos
sea	sea	que,
~,	~,	que
deja	deja	allí
todo	todo	como
bien	bien	somos
~.	~.	tardar
[R-Cmp]	[R-Cmp]	se
Luego	Luego	pueden
por	por	andar,
detrás	detrás	aquí,
~,	~,	ojo,
con	con	hay
otra	otra	que
máquina	máquina	andar
que	que	mucho,
es	es	con
pa	pa	mucho
hacer	hacer	cuidado,
paquetes	paquetes	si
~,	~,	luego
enfardadora	enfardadora	la
~,	~,	enferdadora
va	va	tiene
así	así	pues,
pam	pam	hagan,
~,	~,	tiene
pam	pam	lleva
pam	pam	dos
~,	~,	cilos
pam	pam	y
~,	~,	son
pam	pam	paquetes
~,	~,	de
pam	pam	metro
[ONOMAT]	[ONOMAT]	de
~,	~,	largo,
haces	haces	de
~,	~,	altura
luego	luego	40
echas	echas	y
al	al	de
carro	carro	ancho
y	y	de
~…	~…	cuenta,
ya	ya	ahí,
colocas	colocas	a
y	y	que
~…	~…	lo,
Bueno	Bueno	el
~,	~,	lo
es	es	mismo
mucho	mucho	le
~,	~,	va
o	o	atando
sea	sea	y
~,	~,	los
las	las	nudos
máquinas	máquinas	no
han	han	te
hecho	hecho	entieras
mucho	mucho	ni
~,	~,	cuánto
o	o	hace,
sea	sea	de
~,	~,	15
que	que	segundos
hay	hay	hace,
que	que	porque
andar	andar	aquí
mucho	mucho	alguna
cuidao	cuidao	vez
aquí	aquí	que
~,	~,	se
no	no	avería
es	es	el
como	como	mecánico,
en	en	ha
Álava	Álava	andado
o	o	el
~,	~,	trima
bueno	bueno	de
~,	~,	ello,
terrenos	terrenos	y
llanos	llanos	esos
que	que	que
~,	~,	han
que	que	mandado
a-	a-	los
~,	~,	10
allí	allí	son
con	con	artistas,
los	los	y
ojos	ojos	ahí,
cerraos	cerraos	sí,
se	se	a
puede	pue	ese
andar	andar	time
~.	~.	forno,
Aquí	Aquí	para
no	no	bueno,
~,	~,	y
aquí	aquí	ahora
~…	~…	una
~¡~	~¡~	churrada
Ojo	Ojo	lying
~!	~!	que
[HS:E1	[HS:E1	tiene
		[Asent]			[Asent]	la
~.	~.	RAMех.
		]			]	Tira,
Hay	Hay
que	que
andar	andar
mucho	mucho
~,	~,
con	con
mucho	mucho
cuidao	cuidao
~.	~.
Sí	Sí
~,	~,
y	y
luego	luego
la	la
enfardadora	enfardadora
tiene	tiene
pues	pues
~…	~…
hace	hace
~,	~,
tiene	tiene
~,	~,
lleva	lleva
dos	dos
hilos	hilos
y	y
son	son
paquetes	paquetes
de	de
metro	metro
de	de
largo	largo
~,	~,
de	de
altura	altura
~…	~…
cuarenta	cuarenta
~…	~…
y	y
de	de
ancho	ancho
cincuenta	cincuenta
o	o
por	por
áhi	áhi
~,	~,
y	y
aquello	aquello
~,	~,
ello	ello
mismo	mismo
le	le
va	va
atando	atando
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Y	Y
~…	~…
lo	lo
~,	~,
los	los
nudos	nudos
no	no
te	te
enteras	enteras
ni	ni
cuándo	cuándo
hace	hace
~,	~,
de-	de-
~,	~,
décimas	décimas
de	de
segundo	segundo
hace	hace
y	y
~¡~	~¡~
pum	pum
~!	~!
[ONOMAT]	[ONOMAT]
Porque	Porque
aquí	aquí
~,	~,
alguna	alguna
vez	vez
que	que
se	se
