estandar	dialectal	whisper
No	No	No,
~,	~,	hombre,
hombre	hombre	yo
~,	~,	de
yo	yo	verdad
~…	~…	te
~,	~,	he
de	de	dicho
verdad	verdá	sinceramente
~…	~…	la
te	te	verdad
he	he	en
dicho	dicho	respeta
sinceramente	sinceramente	todo
~…	~…	lo
la	la	que
verdad	verdá	conozco,
~,	~,	¿no?
¿~	¿~	El
eh	eh	me
~?	~?	está
~,	~,	podido
[HS:E4	[HS:E4	quedar
		Sí			Sí	cosas
~.	~.	de
		]			]	stra,
respecto	respecto	porque
a	a	no,
todo	todo	no,
lo	lo	no,
que	que	no.
conozco	conozco	No,
~,	~,	no,
¿~	¿~	no,
no	no	no,
~?	~?	no,
[HS:E	[HS:E	no,
		[Asent]			[Asent]	no,
~.	~.	no,
		]			]	no,
El	El	no,
~…	~…	no,
~|	~|	no,
me	me	no,
se	se	no.
ha	ha	Pero
podío	podío	de
quedar	quedá	verdad
cosas	cosas	es
detrás	detrás	lo
porque	porque	que
~…	~…	te
na	na	he
~,	~,	hablado
eso	eso	de
siempre	siempre	este
suele	suele	estil
ocurrir	ocurrí	sincero,
~,	~,	en
pero	pero	todo,
de	de	¿eh?
verdad	verdá	No
~,	~,	he
en	en	intentado
lo	lo	esconder
que	que	el
te	te	tenada
he	he	y
~,	~,	decir
[HS:E2	[HS:E2	que
		[Asent]			[Asent]	no,
~.	~.	no
		]			]	te
en	en	había.
lo	lo	Te
que	que	he
te	te	sido
he	he	completamente
~,	~,	sincero
en	en	en
lo	lo	todos
que	que	lo
te	te	que
he	he	te
hablao	hablao	hablas.
yo	yo	Respecto
te	te	a
he	he	lo
sido	sío	mío
sincero	sincero	y
~.	~.	a
[HS:E2	[HS:E2	lo
		[Asent]			[Asent]	de
~.	~.	los
		]			]	maillas,
En	En	lo
todo	todo	que
~,	~,	yo
eh	eh	entendía
~.	~.	por
[HS:E	[HS:E	una
		[Asent]			[Asent]	conseguimiento
~.	~.	por
		]			]
No	No
he	he
intentado	intentado
esconderte	esconderte
nada	nada
ni	ni
decirte	decirte
una	una
tontería	tontería
~.	~.
Te	Te
he	he
sido	sido
completamente	completamente
sincero	sincero
en	en
todo	todo
lo	lo
que	que
te	te
he	he
hablao	hablao
~,	~,
respecto	respecto
a	a
~…	~…
lo	lo
mío	mío
a	a
lo	lo
de	de
los	los
demás	demás
y	y
a	a
lo	lo
que	que
yo	yo
entendía	entendía
por	por
una	una
cosa	cosa
y	y
entiendo	entiendo
por	por
otra	otra
~,	~,
¿~	¿~
no	no
~?	~?
