estandar	dialectal	whisper
~¡~	~¡~	Un,
Coño	Coño	no
~!	~!	me
Yo	Yo	diga,
me	me	fiel.
lie	lie	En
fiesta	fiesta	mi
~.	~.	casa
En	En	había
mi	mi	vina,
casa	casa	había
había	había	mostro
viña	viña	que
~,	~,	se
había	había	quería
mosto	mosto	y
to'l	to'l	nos
que	que	metimos
se	se	en
quería	quería	mi
y	y	padre
nos	nos	vivía
metíamos	metíamos	en
en	en	la
~,	~,	pincada,
en	en	yo
~,	~,	me
en	en	vine
~,	~,	con
en	en	los
mi	mi	pintos
padre	padre	ahí
vivía	vivía	a
en	en	casa,
la	la	trajimos
finca	finca	antes,
yo	yo	trajimos
[A-Inn]	[A-Inn]	cuatro,
~,	~,	cinco,
yo	yo	cuatro,
me	me	viernes
vine	vine	de
con	con	leña
los	los	y
quintos	quintos	venga
ahí	ahí	por
a	a	ahí,
casa	casa	papá,
~.	~.	venga,
Trajimos	Trajimos	se
~,	~,	milla
antes	antes	y
trajimos	trajimos	venga
~,	~,	por
cuatro	cuatro	vina
o	o	y
cinco	cinco	venga
viajes	viajes	cantando
de	de	por
leña	leña	acá
y	y	allí,
venga	venga	no
freír	freí	vengo.
papas	papas	Oh...
y	y
venga	venga
hacer	hacer
migas	migas
y	y
venga	venga
[Rndo:	[Rndo:
		[A-Inn]			[A-Inn]
		]			]
y	y
venga	venga
~,	~,
venga	venga
beber	bebé
vino	vino
y	y
venga	venga
cantar	cantá
por	por
la	la
calle	calle
~.	~.
Nos	Nos
liamos	liamos
una	una
~…	~…
~¡~	~¡~
Coño	Coño
~…	~…
~!	~!
Pero	Pero
liada	liá
~.	~.
