estandar	dialectal	whisper
[OTRAS-EM]	[OTRAS-EM]	Y
Estuvimos	Estuvimos	a
con	con	donde
una	una	tu
señora	señora	viste
de	de	no
setenta_y_seis	setenta_y_seis	te
años	años	había
que	que	la
se	se	muchachar
llama	llama	con
		un
Anonimizado	Anonimizado	pierrot,
		no
y	y	de
~…	~…	tu
era	era	viste.
una	una	Una
señora	señora	señora
mayor	mayor	más
~,	~,	allá.
[OTRAS-EM]	[OTRAS-EM]	Nuestimos
[HS:E3	[HS:E3	con
		[A-Inn]			[A-Inn]	una
~.	~.	señora
		]			]	76
que	que	años
vive	vive	que
~,	~,	se
que	que	llama
vive	vive	António.
enfrente	enfrente	Y
del	del	era
bar	bar	una
 	 	señora
 	 	mayor,
 	 	quien
 	 	hay
 	 	enkerme
 	 	la
 	 	lucha
 	 	y
 	 	yo
 	 	no
 	 	te
 	 	voy
 	 	a
 	 	insulationar
 	 	de
 	 	la
 	 	1400airva.
