estandar	dialectal	whisper
|T6|	|T6|	下去,
Pos	Pos	luego
fíjate	fíjate	llegaba
tú	tú	a
~,	~,	final
pa	pa	de
llegar	llegar	laично,
allá	allá	con
al	al	Cir
final	final	emotional,
del	del	lo
monte	monte	balcony.
~,	~,	V<|ta|><|translate|>
pues	pues	aquí
~…	~…	de
Yo	Yo	aquí
con	con	se
mi	mi	me
hijo	hijo	loгр
en	en
brazos	brazos
~;	~;
y	y
los	los
dos	dos
con	con
su	su
padre	padre
~.	~.
Los	Los
sentábamos	sentábamos
debajo	debajo
del	del
olivo	olivo
y	y
nosotros	nosotros
nos	nos
poníamos	poníamos
a	a
apañar	apañar
~.	~.
La	La
vida	vida
fue	fue
muy	muy
mala	mala
entonces	entonces
~.	~.
