estandar	dialectal	whisper
O	O	¿Cadrino
sea	sea	muchísimo?
~,	~,	Sí,
tiene	tiene	sí.
muchísimos	muchísimos	En
años	años	cuanto
de	de	a
~…	~…	los
[HS:I2	[HS:I2	padres,
		Sí			Sí	el
~,	~,	respeto
sí	sí	se
~,	~,	me
sí	sí	había...
~,	~,	Es
sí	sí	por
~,	~,	lo
sí	sí	que
~.	~.	hubo
		]			]	unseen,
este	este	¡gritos
pueblo	pueblo	de
~,	~,	subtítulos
¿~	¿~	en
verdad	verdad	ac
~?	~?	frente
[HS:I2	[HS:I2	al
		Sí			Sí	Castle
~,	~,	V
sí	sí	Singhber
~,	~,
sí	sí
~,	~,
sí	sí
~.	~.
		]			]
Pues	Pues
nada	nada
~.	~.
Y	Y
~…	~…
~,	~,
en	en
cuanto	cuanto
a	a
los	los
padres	padres
~,	~,
el	el
respeto	respeto
que	que
había	había
~,	~,
[HS:I2	[HS:I2
		Pues			Pues
~…	~…
		]			]
¿~	¿~
cómo	cómo
~,	~,
cómo	cómo
era	era
~?	~?
