estandar	dialectal	whisper
Había	Había	Había
cura	cura	un
~,	~,	curo
había	había	video
maestro	maestro	maestro
y	y	y
luego	luego	luego
había	había	había
~…	~…	farmacia
farmacia	farmacia	cada
~,	~,	un
que	que	like
aún	aún	en
la	la	el
hay	hay	pueblo
~,	~,	de
en	en	Tino,
el	el	lo
pueblo	pueblo	por
vecino	vecino	zanah.
~,	~,	Había
Loporzano	Loporzano	farmacia
~.	~.	y
[HS:E1	[HS:E1	había
		[Asent]			[Asent]	medicado.
~.	~.	Medicado
		]			]	y
Había	Había
farmacia	farmacia
y	y
había	había
médico	medíco
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Médico	Médico
y	y
veterinario	veterinario
~.	~.
