estandar	dialectal	whisper
Por	Por	Por
el	el	lo
estilo	estilo	estilo,
~,	~,	por
[RISAS]	[RISAS]	lo
por	por	estilo.
el	el	Luego
estilo	estilo	también
~.	~.	había
Luego	Luego	mucha
también	también	cosa
había	había	que
mucha	mucha	en
cosa	cosa	aquellos
que	que	tiempos,
~…	~…	como
en	en	era
aquellos	aquellos	de
tiempos	tiempos	la
~,	~,	Paksarrique,
[OTRAS-EM]	[OTRAS-EM]	que
como	como	es
era	era	apobre,
pa	pa	ya
casa	casa	me
rica	rica	entiende,
y	y	¿qué
casa	casa	pasa?
pobre	pobre	Y
~,	~,	también
[OTRAS-EM]	[OTRAS-EM]	era
ya	ya	como
me	me	que...
entiendes	entiendes	Si
lo	lo	la
que	que	Paksarrique
pasa	pasa	ya,
~.	~.	si
[HS:I2	[HS:I2	la
		No			No	Paksar
había	había	podría,pa
~,	~,	lo
no	no	naj
había	había	ist
~.	~.
		]			]
Antes	Antes
no	no
era	era
como	como
hoy	hoy
que	que
~…	~…
si	si
era	era
pa	pa
casa	casa
rica	rica
ya	ya
~,	~,
si	si
era	era
pa	pa
casa	casa
pobre	pobre
ya	ya
será	será
~,	~,
ya	ya
no	no
~…	~…
