estandar	dialectal	whisper
Y	Y	Aquí
es	es	sí,
mucho	mucho	mucho
incómodo	incómodo	como
~.	~.	la
Ya	Ya	vértil
me	me	ya
lo	lo	me哆
decían	decían	lo
a	a	hicimos
mí	mí	sh收.
~,	~,	Mira,
que	que	qué
~:	~:	tul
«~	«~	vozilavedes
Cuando	Cuando	me
lo	lo	sacan
dejes	dejes	todo
tú	tú	y
de	de	todo
hacer	hacer	no
~…	~…	ya
~»	~»	estábamos
~.	~.	en
¿~	¿~	pouública
Y	Y	pero
sabes	sabes	ahora
porque	porque	la
le	le	vaya
dejamos	dejemos	por
también	también	hola
~?	~?	que
Que	Que	harécoleta
entonces	entonces	y
ya	ya	al
estaban	estaban	cielo
en	en	ya
Huesca	Huesca	que
~,	~,	ha
pero	pero	collado
bajaban	bajaban	ya
~.	~.	que
Porque	Porque	la
tuve	tuve	hemolíros束
una	una	a
ciática	ciática	la
~,	~,	búsqueda.
y	y	La
muy	muy	fotografía
fuerte	fuerte	es
~.	~.	más
Y	Y
dijeron	dijeron
~:	~:
«~	«~
Bueno	Bueno
~,	~,
si	si
el	el
día	día
que	que
tú	tú
no	no
lo	lo
hagas	hagas
~…	~…
~»	~»
~.	~.
Y	Y
aquel	aquel
año	año
yo	yo
estaba	estaba
delicada	delicada
~,	~,
pues	pues
sí	sí
la	la
hicimos	hicimos
como	como
se	se
pudo	pudo
~,	~,
pero	pero
yo	yo
mal	mal
~,	~,
ya	ya
~.	~.
[A-Nul]	[A-Nul]
nada	nada
~,	~,
matacías	matacías
y	y
eso	eso
~,	~,
nada	nada
~.	~.
Más	Más
que	que
nada	nada
fue	fue
por	por
eso	eso
~.	~.
