estandar	dialectal	whisper
La	La	La
mujer	mujer	mujer
casada	casada	casada
por	por	por
lo	lo	lo
regular	regular	regular
iba	iba	se
~|	~|	quedaba
se	se	en
quedaba	quedaba	casa,
en	en	era
casa	casa	casarse
~.	~.	y
Es	Es	la
que	que	mujer
era	era	como
casarse	casarse	decían
y	y	aquí
la	la	en
mujer	mujer	casa
~,	~,	y
como	como	con
decían	decían	las
aquí	aquí	piernas
~:	~:	quebraron,
«~	«~	porque
En	En	había
casa	casa	eran
y	y	ese
con	con	actubre.
la	la	Mi
pierna	pierna	padre
quebrada	quebrá	era
~»	~»	más
~.	~.	pequeño
[HS:E1	[HS:E1	y
		[Asent]			[Asent]	ahora
~.	~.	mejor
		]			]	venía
Es	Es	un
que	que	diavecivo
había	había	como
~,	~,	la
eran	eran	fiesta
esas	esas	de
costumbres	costumbres	la
~.	~.	Tronale
[HS:E1	[HS:E1	o
		[Asent]			[Asent]	el
~.	~.	corpú
		]			]	que
Mi	Mi	se
padre	padre	viera
~,	~,	que
éramos	éramos	voy
pequeños	pequeños	a
y	y	hacer
~,	~,	una
a	a	vuelta
lo	lo	y
mejor	mejor	la
venía	venía	vuelta
un	un	la
día	día	mejor
festivo	festivo	venía
~,	~,	las
como	como	cuatro
las	las	las
fiestas	fiestas	cinco
patronales	patronales	latarde,
~,	~,	ya
o	o	el
el	el	río
corpus	corpus	perdido,
que	que	ya
se	se	que
~|	~|	pasaba,
«~	«~	que
Mira	Mira	ya
~,	~,	ni
que	que	salía
voy	voy	la
a	a	mujer
dar	dar	ni
una	una	salía
vuelta	vuelta	los
~»	~»	niños
~.	~.	ni
[HS:E1	[HS:E1	salía
		[Asent]			[Asent]	y
~.	~.	así
		]			]	de
Y	Y	la
la	la	casé
vuelta	vuelta	simple.
a	a	Después
lo	lo	claro
mejor	mejor	otro
venía	venía	día
a	a	al
las	las	trabajo
cuatro	cuatro	al
o	o	campo
las	las	y
cinco	cinco	así
la	la	un
tarde	tarde	maíz
~,	~,	claro
ya	ya	en
~…	~…	día
ebrio	ebrio	que
perdido	perdío	pillaban
~.	~.	con
[HS:E1	[HS:E1	gana
		[Asent]			[Asent]	pero
~.	~.	yo
		]			]	no
¿~	¿~	se
Y	Y	quedaban
ya	ya	cuenta
qué	qué	que
pasaba	pasaba	tenían
~?	~?	una
Que	Que	familia,
ya	ya	había
ni	ni	usted
salía	salía	aquí
la	la	en
mujer	mujé	Rosen
ni	ni	spearche
salían	salían	y
los	los
niños	niños
~,	~,
ni	ni
salía	salía
nadie	nadie
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Y	Y
así	así
era	era
casi	casi
siempre	siempre
~.	~.
Después	Después
~,	~,
claro	claro
~,	~,
otro	otro
día	día
~,	~,
al	al
trabajo	trabajo
al	al
campo	campo
~,	~,
y	y
así	así
un	un
mes	mes
~.	~.
Claro	Claro
~,	~,
el	el
día	día
que	que
pillaban	pillaban
con	con
ganas	ganas
~,	~,
pero	pero
ellos	ellos
no	no
se	se
daban	daban
cuenta	cuenta
que	que
tenían	tenían
una	una
familia	familia
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Había	Había
quien	quien
eso	eso
~,	~,
pero	pero
era	era
una	una
minoría	minoría
los	los
que	que
~…	~…
