estandar	dialectal	whisper
De	De	de
flan	flan	flan,
~.	~.	de
Flan	Flan	niño,
del	del	no
niño	niño	sabe
~.	~.	lo
¿~	¿~	que
No	No	es
sabes	sabes	de
lo	lo	flan
que	que	de
es	es	niño
el	el	hacer
flan	flan	eso,
del	del	o
niño	niño	parece
~,	~,	que
hacer	hacer	no
eso	eso	hay
~?	~?	que
[HS:E1	[HS:E1	comer,
		[Asent]			[Asent]	y
~.	~.	lechaba
		]			]	la
Uh	Uh	fía
~,	~,	gatilla
parece	paece	y
que	que	luego
no	no	leché
has	has	con
hecho	hecho	desada,
de	de	la
comer	comé	fía
~.	~.	la
Y	Y	gatilla
le	le	con
echaba	echaba	agua
~,	~,	y
[RISAS]	[RISAS]	luego
le	le	lechaba
hacía	hacía	un
gachillas	gachillas	chorro
~,	~,	de
[HS:E1	[HS:E1	leché
		[Asent]			[Asent]	con
~.	~.	desada
		]			]	la
y	y	patía
luego	luego	bien,
leche	leche	se
condensada	condesada	la
~.	~.	echaba
Le	Le	y
hacía	hacía	estaba
las	las	echando
gachillas	gachillas	hace
con	con	porro,
agua	agua	un
~,	~,	ceboro
[HS:E1	[HS:E1	estaba
		[Asent]			[Asent]	echado,
~.	~.	ponís
		]			]	una
y	y	ría
luego	luego	y
le	le	luego
echaba	echaba	cuando
un	un	ya
chorreón	chorreón	estaba
de	de	matado
leche	leche	a
condensada	condesada	mayo
~,	~,	le
las	las	daba
batía	batía	su
bien	bien	pada
~,	~,	raro,
se	se	le
las	las	echaba
echaba	echaba	un
y	y	casco
estaba	estaba	de
hecha	hecha	cebolla,
un	un	un
ceporro	ceporro	casco
~,	~,	de
un	un	tomate,
ceporro	ceporro	se
estaba	estaba	lo
hecha	hecha	cocía
~.	~.	y
[HS:E1	[HS:E1	se
		[Asent]			[Asent]	lo
~.	~.	daba,
		]			]	pero
Con	Con	mi
~,	~,	hijo
con	con	no
eso	eso	esperó
la	la	que
crie	crie	yo
~.	~.	te
Y	Y	tuelo
luego	luego	una,
cuando	cuando	ni
ya	ya	vivirón
estaba	estaba	ni
más	más	nada
tarde	tarde	eso
~,	~,	me
más	más	jane
~,	~,	con
más	más	mi
~…	~…	odio,
mayó	mayó	la
~,	~,	mayor
pues	pues	mía
le	le	con
daba	daba	3
~,	~,	días
pues	pues	le
su	su	di
~…	~…	mi
le	le	pecho,
daba	daba	que
sopa	sopa	me
de	de	sacaba
arroz	arroz	la
~,	~,	calota
que	que	y
le	le	se
echaba	echaba	lo
un	un	dí
casco	casco	con
de	de	una
cebolla	cebolla	cuchara,
~,	~,	porque
un	un	no
casco	casco	quería,
de	de	que
tomate	tomate	pensó
~,	~,	si
se	se	bajó
lo	lo	el
cocía	cocía	médico
y	y	y
se	se	le
lo	lo	digo,
daba	daba	no
~.	~.	quiero
Pero	Pero	ni
mis	mis	ni
hijas	hijas	ni
no	no	ni
han	han	ni
querío	querío	ni
triturao	triturao	quiere
na	na	vivirón
~,	~,	ni
ni	ni	eso
biberón	biberón	con
~,	~,	una
ni	ni	cuchara,
na	na	pero
de	de	yo
eso	eso	digo
~,	~,	la
mis	mis
hijas	hijas
no	no
han	han
comío	comío
de	de
eso	eso
~.	~.
Mi	Mi
~…	~…
la	la
mayor	mayor
mía	mía
~,	~,
con	con
tres	tres
días	días
~,	~,
le	le
di	di
mi	mi
pecho	pecho
~,	~,
que	que
me	me
sacaba	sacaba
los	los
calostros	calostros
y	y
se	se
lo	lo
di	di
con	con
una	una
cuchara	cuchara
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Porque	Porque
no	no
quería	quería
~.	~.
[HS:E1	[HS:E1
		No			No
le	le
gustaba	gustaba
~.	~.
		]			]
[A-Inn]	[A-Inn]
sí	sí
bajó	bajó
el	el
médico	médico
~,	~,
y	y
le	le
digo	digo
~,	~,
le	le
decían	decían
don	don
	
Anonimizado	Anonimizado
	
~,	~,
digo	digo
~:	~:
«~	«~
Don	Don
	
Anonimizado	Anonimizado
	
~,	~,
que	que
no	no
quiere	quiere
mi	mi
niña	niña
cogerse	cogerse
al	al
pecho	pecho
~,	~,
¿~	¿~
qué	qué
hago	hago
~?	~?
~»	~»
~.	~.
«~	«~
Pos	Pos
dale	dale
con	con
~»	~»
~.	~.
«~	«~
Ni	Ni
quiere	quiere
biberón	biberón
~»	~»
~.	~.
«~	«~
Pos	Pos
dale	dale
con	con
una	una
cuchara	cuchara
~»	~»
~.	~.
Y	Y
le	le
di	di
con	con
la	la
cuchara	cuchara
~.	~.
