estandar	dialectal	whisper
¿~	¿~	No
No	No	se
sabe	sabe	ha
usted	usted	muerto
cómo	cómo	como
se	se	se
hace	hace	ha
un	un	sacado
rosario	rosario	un
~?	~?	rosario.
[HS:E1	[HS:E1	Bueno,
		No			No	se
~.	~.	trobamos
		]			]	a
Pos	Pos	la
nosotros	nosotros	virgen,
vamos	vamos	que
a	a	le
la	la	tenemos
Virgen	Virgen	mucha
~,	~,	explora
que	que	en
le	le	este
tenemos	tenemos	tiempo,
muchas	muchas	porque
flores	flores	está
en	en	presiosa.
este	este	Y
tiempo	tiempo	entonces,
~,	~,	los
porque	porque	dos
está	está	amores
preciosa	preciosa	amamos
~.	~.	a
Y	Y	los
entonces	entonces	salios.
empezamos	empezamos	Y
y	y	si
le	le	se
rezamos	rezamos	ha
el	el	ver
rosario	rosario	lo
~.	~.	que
¿~	¿~	hagas
Usted	Usted	al
sabe	sabe	rosario,
lo	lo	no?
que	que	O
es	es	sea,
rezar	rezar	pues
el	el	tu
rosario	rosario	padre
~?	~?	no
¿~	¿~	he
No	No	troo,
~?	~?	luego
Pos	Pos	reza
empiezas	empiezas	diave
por	por	María
tu	tu	y
padrenuestro	padrenuestro	luego
~,	~,	la
luego	luego	dosas
rezas	rezas	contestamos
diez	diez	a
avemarías	avemarías	la
y	y	Cerre
luego	luego	María,
no	no	luego
~,	~,	le
las	las	cantamos
otras	otras	a
contestamos	contestamos	la
al	al	virgen,
Salve_María	Salve_María	también
~,	~,	no
luego	luego	está
le	le	mucho
cantamos	cantamos	cantando.
a	a	Me
la	la	gusta
Virgen	Virgen	cantar
~,	~,	y
que	que	mucha
a	a	la
mí	mí	virgen,
me	me	le
gusta	gusta	canto
mucho	mucho	a
cantar	cantá	mi
~.	~.	chiquillo,
Me	Me	este
gusta	gusta	chico
cantarle	cantale	su
mucho	mucho	padre
a	a	dice
la	la	que
Virgen	Virgen	luego
~,	~,	vamos
le	le	a
canto	canto	ver
a	a	pura.
mi	mi
chiquillo	chiquillo
~.	~.
Este	Este
chico	chico
~.	~.
Su	Su
padre	padre
dice	dice
que	que
lo	lo
voy	voy
a	a
volver	volver
cura	cura
~.	~.
[RISAS]	[RISAS]
