estandar	dialectal	whisper
Aquí	Aquí	y
se	se	luego
cultivó	cultivó	cultivaba
de	de	nada
todo	todo	más,
~.	~.	era
Por	Por	Trigo,
eso	eso	Maíz,
que	que	Habela,
aquí	aquí	Patatas.
te	te	Patatas,
digo	digo	Patatas.
que	que	No,
esto	esto	de
no	no	todo.
~,	~,	Aquí
fue	fue	se
de	de	han
todo	todo	discutido
y	y	de
no	no	todo.
es	es	Por
de	de	eso,
nada	nada	¿qué
~,	~,	quité
es	es	digo
una	una	que
cosa	cosa	esto
que	que	fue
~…	~…	de
[HS:E1	[HS:E1	todo,
		Sí			Sí	de
~.	~.	las
[RISAS]	[RISAS]	de
		]			]	la
Está	Está	verdad?
todo	todo	Sí.
~…	~…	Estaba
~,	~,	de
todo	todo	todo,
el	el	de
mundo	mundo	todo,
botaba	botaba	de
de	de	una
todo	todo	de
y	y	ti
nadie	nadie	en
tenía	tiña	nada.
de	de	Porque
nada	nada	sí,
porque	porque	siempre,
~…	~…	siempre,
[HS:E1	[HS:E1	siempre,
		Sí			Sí	si
~.	~.	yo
		]			]	de
Es	Es	todo,
un	un	porque
sitio	sitio	era
que	que	buena
~…	~…	tierra
siempre	siempre	y
se	se	tiene
dio	dio	buen
de	de	clima,
todo	todo	pero
~.	~.	siempre
Aquí	Aquí	fue
es	es	un
buena	buena	medio
tierra	tierra	fundio.
y	y	Todo,
tiene	tiene	cada
buen	buen	uno
clima	clima	tiene
~,	~,	que
pero	pero	fuera
siempre	siempre	la
fue	fue	reta,
un	un	4,
minifundio	minifundio	5,
~.	~.	4,
Todo	Todo	5,
tiene	tiene	o
~…	~…	1.
cada	cada	No
~,	~,	es
cada	cada	como
uno	uno	a
tiene	tiene	otro
dos	dos	suitismo
ferrados	ferrados	que
de	de	uno
tierra	tierra	tiene
~,	~,	una
cuatro	cuatro	extensión,
~,	~,	una
cinco	cinco	extensión,
o	o	una
seis	seis	extensión,
[HS:E1	[HS:E1	aquí
		Sí			Sí	no.
~.	~.	Estuve,
		]			]	creo,
o	o	4,
uno	uno	5,
~.	~.	5,
No	No	5,
es	es	5,
como	como	5.
otros	otros	Todo
sitios	sitios	lo
que	que	que
uno	uno	partía,
tiene	tiene	un
una	una	medio
extensión	extensión	fundio
~…	~…	de
~|	~|	este.
aquí	aquí	Allí,
no	no	perdón,
~,	~,	todo
aquí	aquí	lo
~…	~…	que
Esto	Esto
es	es
~…	~…
de	de
tres	tres
o	o
cuatro	cuatro
~,	~,
aquello	aquello
es	es
~…	~…
Todo	Todo
[A-PIn:	[A-PIn:
		dado			dado
		]			]
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
todo	todo
repartido	repartido
~,	~,
un	un
minifundio	minifundio
de	de
este	este
~…	~…
Sí	Sí
~.	~.
