estandar	dialectal	whisper
Y	Y	Y
~,	~,	después
después	después	de
~,	~,	allá
¿~	¿~	de
verdá	verdá	que
~?	~?	encordaba,
~,	~,	o
ya	ya	sea
deque	deque	llegaba
engordaba	engordaba	a
~,	~,	la
[HS:E1	[HS:E1	época
		[Asent]			[Asent]	de
~.	~.	San,
		]			]	hacia
pues	pues	la
ya	ya	matanta,
llegaba	llegaba	y
la	la	se
época	época	inamitando
esa	esa	que
pa	pa	el
hacer	hacer	tiempo
la	la	después
matanza	matanza	de
~,	~,	la
y	y	vida
esa	esa	de
finalizando	finalizando	otro
diciembre	diciembre	enenero,
~,	~,	y
después	después	después
de	de	de
navidades	navidades	reír,
o	o	de
~…	~…	hacer
~,	~,	a
o	o	matar,
en	en	y
enero	enero	entonces
o	o	se
así	así	mataba,
~,	~,	se
después	después	soca
de	de	grabas
reyes	reyes	con
o	o	vencejos
cosas	cosas	de
de	de	que
esas	esas
pa	pa
matar	matar
~…	~…
y	y
~,	~,
y	y
entonces	entonces
ya	ya
se	se
mataba	mataba
~,	~,
se	se
socarraba	socarraba
con	con
vencejos	vencejos
de	de
que	que
~,	~,
o	o
paja	paja
~,	~,
verdá	verdá
~.	~.
