estandar	dialectal	whisper
Sí	Sí	Sí,
~,	~,	pues
pues	pues	había
había	había	veces
veces	veces	que
que	que	algunas
~…	~…	hasta
~,	~,	todo
algunas	algunas	el
hasta	hasta	día,
todos	todos	si
los	los	no,
días	días	si
ponían	ponían	no
~,	~,	un
[HS:E1	[HS:E1	día,
		¿~			¿~	si
Sí	Sí	otro
~?	~?	no,
		]			]	normalmente.
si	si	Un
no	no	día,
~…	~…	si
~,	~,	no,
si	si	seguro.
no	no	No,
~,	~,	Корo,
un	un
día	día
sí	sí
y	y
otro	otro
no	no
~,	~,
normalmente	normalmente
~…	~…
~,	~,
un	un
día	día
sí	sí
y	y
otro	otro
no	no
~,	~,
seguro	seguro
~,	~,
había	había
algunas	algunas
que	que
hasta	hasta
dos	dos
~…	~…
ponía	ponía
~,	~,
todos	todos
los	los
días	días
~,	~,
quiero	quiero
decir	decir
~.	~.
