estandar	dialectal	whisper
¿~	¿~	antes,
Antes	Antes	me
~,	~,	voy
maja	maja	a
~?	~?	decirte
Pues	Pues	que
mira	mira	la
~,	~,	que
antes	antes	íbamos
~,	~,	a
voy	voy	la
a	a	escuela
decirte	decirte	hasta
~,	~,	los
que	que	14
la	la	años,
que	que	seríamos
íbamos	íbamos	un
a	a	el
la	la	máximo,
escuela	escuela	porque
~,	~,	todo
hasta	hasta	el
los	los	mundo
catorce	catorce	salía
años	años	antes
~,	~,	a
éramos	éramos	trabajar
un	un	y
~…	~…	eso.
¿~	¿~	Carreras,
eh	eh	pues
~?	~?	carreras
El	El	estaban
máximo	máximo	estudiando
~.	~.	en
Porque	Porque	aquellos
todo	todo	tiempos,
el	el	me
mundo	mundo	parece
salía	salía	que
antes	antes	eran
a	a	tres
trabajar	trabajar	en
y	y	el
eso	eso	pueblo,
~.	~.	un
Carreras	Carreras	hermano
~,	~,	mío,
pues	pues	bueno
carreras	carreras	tres
~,	~,	carreras
estaban	estaban	y
estudiando	estudiando	la
en	en	de
aquellos	aquellos	muchos
tiempos	tiempos	se
~…	~…	marchaban
[HS:I2	[HS:I2	mojas
		Pocos			Pocos	y
~.	~.	freles,
		]			]	porque
pues	pues	no
me	me	había
parece	parece	producción,
que	que	no
eran	eran	había
tres	tres	dinero,
en	en	y
el	el	se
pueblo	pueblo	iba
~.	~.	a
Uno	Uno	mojas
hermano	hermano	y
mío	mío	freles
~,	~,	y
		curas
Anonimizado	Anonimizado	y
Antuna	Antuna	gratis.
		Tanto
~,	~,	es
bueno	bueno	así
~,	~,	que
tres	tres	tenemos
~,	~,	180
tres	tres	religiosos
carreras	carreras	y
~…	~…	más
y	y	tenido
la	la	180
de	de	religiosos
		en
Anonimizado	Anonimizado	un
		pueblo
~.	~.	de
Muchos	Muchos	mil
~,	~,
muchos	muchos
se	se
marchaban	marchaban
monjas	monjas
y	y
frailes	frailes
~.	~.
¿~	¿~
Por	Por
qué	qué
~?	~?
Porque	Porque
no	no
había	había
producción	producción
~,	~,
y	y
no	no
había	había
dinero	dinero
~.	~.
Y	Y
se	se
iban	iban
monjas	monjas
y	y
frailes	frailes
~…	~…
[HS:I2	[HS:I2
		Al			Al
Seminario	Seminario
~.	~.
		]			]
Y	Y
curas	curas
y	y
sí	sí
~,	~,
y	y
gratis	gratis
~.	~.
Pues	Pues
tanto	tanto
es	es
así	así
que	que
tenemos	tenemos
ciento_ochenta	ciento_ochenta
religiosos	religiosos
~,	~,
hemos	hemos
tenido	tenido
ciento_ochenta	ciento_ochenta
religiosos	religiosos
~,	~,
en	en
un	un
pueblo	pueblo
de	de
mil	mil
habitantes	habitantes
~.	~.
[RISAS]	[RISAS]
