estandar	dialectal	whisper
bueno	bueno	Bueno,
~,	~,	año
año	año	más
arriba	arriba	arriba
~,	~,	a
año	año	la
abajo	abajo	señora
~,	~,	Bajuera,
¿~	¿~	si
verdad	verdad	tú
~?	~?	lo
Al	Al	ves
ir	ir	a
mi	mi	él,
tío	tío	mi
a	a	tío,
llevar	llevar	a
a	a	llevar
su	su	a
madre	madre	su
pa	pa	madre
ver	ver	para
a	a	ver
las	las	a
hijas	hijas	las
~,	~,	hijas.
me	me	Me
dio	dio	dio
la	la	la
cariñada	cariñada	cariña
y	y	de
me	me	y
vine	vení	me
aquí	aquí	venía
~.	~.	aquí
¿~	¿~	y
Y	Y	me
sabes	sabes	dió
lo	lo	que
que	que	me
me	me	decía
~?	~?	que
Ah	Ah	no
~,	~,	os
que	que	contaba
no	no	esto.
os	os	Y
he	he	me
contado	contao	hace
esto	esto	los
~.	~.	años
[RISAS]	[RISAS]	en
Y	Y	abril,
		verdad,
Anonimizado	Anonimizado	y
		yo
~,	~,	en
y	y	junio.
		Ahora
Anonimizado	Anonimizado	este
		mes
me	me	el
~…	~…	día
[OTRAS-EM]	[OTRAS-EM]	19
hace	hace	es
los	los	al
años	años	salto
en	en	en
abril	abril	mi
~,	~,	marido,
¿~	¿~	que
verdad	verdad	le
~?	~?	dije
Y	Y	si
yo	yo	estaría
en	en	los
junio	junio	tres
~.	~.	hijos
Ahora	Ahora	os
~,	~,	llevaba
[OTRAS-EM]	[OTRAS-EM]	a
este	este	comer,
mes	mes	le
~,	~,	digo
el	el	a
día	día	esto,
diecinueve	diecinueve	el
es	es	me
el	el	dice,
santo	santo	no,
de	de	de
mi	mi	dice
marido	marido	a
~,	~,	lo
que	que	que
les	les	lo
dije	dije	año
~:	~:	me
«~	«~	dice,
Si	Si	en
estaríais	estaríais	esta
los	los	especie
tres	tres	bajábamos
hijos	hijos	a
~,	~,	lo
os	os	que
llevaba	llevaba	lo
a	a	ni
comer	comer	mejor.
~»	~»	Teno
~.	~.	enllemando
Le	Le	el
digo	digo	día
a	a	19,
estos	estos	tenemos
~,	~,	la
y	y	misma
me	me	era,
dicen	dicen	¿eh?
~:	~:	Me
«~	«~	dijo,
No	No	tenemos
~,	~,	la
a	a	misma
Logroño	Logroño	era,
~»	~»	pero
~.	~.	llega
Me	Me	a
dicen	dicen	junio,
estas	estas	hijo,
~:	~:	el
[HS:E1	[HS:E1	día
		[RISA]			[RISA]	5
		]			]	de
«~	«~	junio
Bajábamos	Bajábamos	se
a	a	ha
Logroño	Logroño	salido,
~,	~,	que
mejor	mejor	no
~»	~»	me
~.	~.	le
En	En	pusieron,
llegando	llegando	¿verdad?
el	el	Pero
día	día	ahora
diecinueve	diecinueve	no
tenemos	tenemos	firmó.
la	la	¿Sabes
misma	misma	lo
edad	edad	que
~:	~:	me
«~	«~	dice
Eh	Eh	que
~,	~,	sí,
majo	majo	la
~,	~,	escuela?
tenemos	tenemos	Sí,
la	la	hijo
misma	misma	de
edad	edad	mi
~»	~»	a
~.	~.	lo
[RISAS]	[RISAS]	más.
Pero	Pero	A
llega	llega	los
junio	junio	seis
~,	~,	años.
hijo	hijo	Hoy
~,	~,	a
el	el	los
día	día	seis
cinco	cinco	años
de	de	entrábamos
junio	junio	a
~,	~,	los
san	san
	
Anonimizado	Anonimizado
	
~.	~.
Qué	Qué
nombre	nombre
me	me
pusieron	pusieron
~,	~,
¿~	¿~
verdad	verdad
~?	~?
Pero	Pero
ahora	ahora
no	no
firmo	firmo
	
Anonimizado	Anonimizado
	
~,	~,
no	no
~,	~,
no	no
~.	~.
Ah	Ah
~,	~,
¿~	¿~
sabes	sabes
lo	lo
que	que
me	me
dicen	dicen
~?	~?
Que	Que
si	si
he	he
ido	ido
a	a
escuela	escuela
~.	~.
Sí	Sí
~,	~,
hija	hija
~,	~,
sí	sí
~,	~,
hija	hija
de	de
mi	mi
alma	alma
~.	~.
[HS:E2	[HS:E2
		Sí			Sí
~,	~,
eso	eso
estaba	estaba
preguntando	preguntando
~,	~,
igual	igual
que	que
ahora	ahora
las	las
mujeres	mujeres
están	están
avasallando	avasallando
[A-Nul]	[A-Nul]
~.	~.
		]			]
Ay	Ay
~,	~,
a	a
los	los
seis	seis
años	años
~,	~,
oye	oye
~,	~,
a	a
los	los
seis	seis
años	años
entrábamos	entrábamos
en	en
~…	~…
~,	~,
en	en
eso	eso
y	y
salíamos	salíamos
a	a
los	los
catorce	catorce
~.	~.
