estandar	dialectal	whisper
Y	Y	y
frío	frío	frío
una	una	una
hoja	hoja	hoja
de	de	de
laurel	laurel	aurel
~.	~.	y
Y	Y	frío
frío	frío	un
un	un	trocito
trocito	trocito	de
de	de	pan,
pan	pan	lo
~,	~,	machaco
lo	lo	todo,
machaco	machaco	le
todo	todo	quito
~,	~,	el
le	le	agua,
quito	quito	le
el	el	he
agua	agua	hecho
~,	~,	eso
le	le	por
echo	echo	cima
eso	eso	y
por	por	le
encima	cima	he
y	y	hecho
~,	~,	un
y	y	poquito
le	le	hindiarina
echo	echo	que
un	un	es
poquitín	poquitín	un
de	de	poco
harina	harina	más
~,	~,	espeso
que	que	del
esté	esté	caldo
un	un	de
poco	poco	traigo
más	más	lo
espeso	espeso	que
el	el	está
caldo	caldo	haciendo,
de	de	que
~…	~…	nos
~,	~,	traaltaba
del	del	cuasters
moje	moje	los
que	que	dos
tiene	tiene	amigos,
~,	~,	y
lo	lo
vuelvo	vuelvo
a	a
dejar	dejar
cocer	cocer
otro	otro
poquitín	poquitín
~,	~,
y	y
a	a
comerlo	comerlo
~.	~.
