estandar	dialectal	whisper
Sí	Sí	y
~,	~,	si
se	se	se
respetaba	respetaba	aspetaba
más	más	más.
porque	porque	Porque
cuando	cuando	cuando
llegaba	llegaba	llegaba
el	el	el
maestro	maestro	maestro
a	a	a
clase	clase	clase,
estábamos	estábamos	estuvo
todos	todos	a
así	así	nuestro
en	en	museo
la	la	sin
mesa	mesa	la
[G-Mst]	[G-Mst]	mesa,
y	y	y
no	no	no,
llegaba	llegaba	llegaba
el	el	el
maestro	maestro	maestro,
~,	~,	llegaba
llegaba	llegaba	a
cualquier	cualquier	cualquier
persona	persona	persona
de	de	de
fuera	fuera	fuera
y	y	y
nos	nos	nos
poníamos	poníamos	poníamos
de	de	de
pie	pie	pie
todos	todos	todos,
~,	~,	todos.
todos	todos	Y
y	y	buenos
~:	~:	días
«~	«~	teníamos,
Buenos	Buenos	¿cómo
días	días	está,
tenga	tenga	qué
usted	usté	se
~,	~,	tengo
buenas	buenas	usted?
tardes	tardes	¿Qué
tenga	tenga	hoy
usted	usté	no
~»	~»	lo
~.	~.	haces?
¿~	¿~	Pues
Eh	Eh	antes
~?	~?	sería
Que	Que	mucha
ahora	ahora	educación
no	no	más
lo	lo	que
hacéis	hacéis	ahora.
~.	~.	Ahora,
Bueno	Bueno	estudias
~,	~,	mucho
pues	pues	y
antes	antes	sabernas,
había	había	pero
mucha	mucha	antes
educación	educación	sabía
más	más	mucha
que	que	respeta,
ahora	ahora	los
~,	~,	maestros,
¿~	¿~	al
eh	eh	gente
~?	~?	mayor,
Ahora	Ahora	y
estudiáis	estudiáis	a
mucho	mucho	todo
y	y	el
sabéis	sabéis	mundo,
más	más	porque
~,	~,	ya
pero	pero	te
antes	antes	digo
había	había	entrar
mucho	mucho	a
respeto	respeto	alguien
a	a	a
los	los	la
maestros	maestros	escuela,
~,	~,	cualquiera
a	a	que
la	la	entrar
gente	gente	a
mayor	mayor	sin
y	y	valla
a	a	gente,
todo	todo	que
el	el	encorribuó
mundo	mundo	la
~,	~,	zona
porque	porque	a
ya	ya	esta,
te	te	o
digo	digo	entraba
entraba	entraba	la,
a	a	como
la	la	se
escuela	escuela	llama,
cualquiera	cualquiera	como
que	que	es
entraba	entraba	la
así	así	respectora,
~,	~,	antes
vaya	vaya	de
gente	gente	mi
que	que	mamá
a	a	la
lo	lo	espectora.
mejor	mejor	Y
iba	iba	para
a	a	eso,
hablar	hablar	cuando
con	con	entraba
la	la	a
maestra	maestra	día,
o	o	bueno,
entraba	entraba	de
la	la	los
como	como	niños
se	se	o
llama	llama	tal,
~,	~,	y
eh	eh	a
~…	~…	todos
¿~	¿~	nos
cómo	cómo	poníamos
es	es	de
~?	~?	pie,
La	La	buenos
inspectora	inspectora	días
~,	~,	teníamos
antes	antes	usted,
le	le	y
llamaban	llamaban	así,
la	la	así,
inspectora	inspectora	firmes.
me	me	Y
parece	parece	entonces
~,	~,	la
cuando	cuando	direcora,
entraba	entraba	que
allí	allí	era
~,	~,	el
bueno	bueno	nombre
~,	~,	de
a	a	todos,
ver	ver	alecrío,
a	a	entonces
los	los	ya
niños	niños	nos
o	o	mandaba
tal	tal	sentarnos,
~,	~,	y
ya	ya	nos
todos	todos	sentíamos,
nos	nos	ahora
poníamos	poníamos	ya
de	de	me
pie	pie	parecía
~:	~:	que
«~	«~	no,
Buenos	Buenos	no
días	días	se
tenga	tenga	la
usted	usté	haces.
~»	~»	Y
~.	~.	te
Y	Y	witnessing되
así	así	primero
todas	todas	y
así	así	si
~,	~,	son
así	así	los
firmes	firmes	trafic
y	y
ya	ya
entonces	entonces
la	la
directora	directora
que	que
era	era
la	la
directora	directora
del	del
colegio	colegio
~,	~,
entonces	entonces
ya	ya
nos	nos
mandaba	mandaba
sentarnos	sentarnos
y	y
nos	nos
sentábamos	sentábamos
~,	~,
pero	pero
ahora	ahora
eso	eso
me	me
parece	parece
que	que
no	no
~,	~,
no	no
~,	~,
no	no
se	se
hace	hace
~,	~,
¿~	¿~
no	no
~?	~?
Antes	Antes
había	había
mucho	mucho
respeto	respeto
~.	~.
