estandar	dialectal	whisper
Bueno	Bueno	Bueno,
~,	~,	gracias.
gracias	gracias	A
~.	~.	bastante
Va	Va	bien,
bastante	bastante	pero...
bien	bien	Pero
~,	~,	tuvió
pero	pero	bastante.
~…	~…	Y
pero	pero	tuvió,
tuvieron	tuvieron	¿no?
bastante	bastante	Cuando
~.	~.	hay
Y	Y	pat...
tuvimos	tuvimos	Cuando
~,	~,	hay
porque	porque	patados,
hay	hay	¿eh?
pa	pa	Hay
to-	to-	patados.
~,	~,	Cuando
cuando	cuando	hay.
hay	hay	Aqui
pa	pa	con
~,	~,	las
hay	hay	torsoines,
pa	pa	aquí,
todos	todos	esos
~,	~,	grassos.
eh	eh	یہ
~.	~.	que
[HS:E1	[HS:E1	la
		Ya			Ya	niñade.
~.	~.	Ésta
		]			]	trajele
Hay	Hay	menos
pa	pa	para
todos	todos	que
~.	~.	los
Cuando	Cuando
hay	hay
~.	~.
Así	Así
que	que
na	na
más	más
~.	~.
[HS:E1	[HS:E1
		Y			Y
~…	~…
		]			]
Bueno	Bueno
~…	~…
