estandar	dialectal	whisper
Sí	Sí	si,
~…	~…	pues
Pues	Pues	antes
~…	~…	por
antes	antes	ser,
[L-Otra:	[L-Otra:	pues
		potser			potser	se
		]			]	mataba
~,	~,	en
pues	pues	un
se	se	pavo,
mataba	mataba	pues
un	un	yo
pavo	pavo	ahora
~,	~,	no
pero	pero	tenemos
ahora	ahora	ni
ya	ya	corrado,
no	no	no
tenemos	tenemos	podemos
ni	ni	matar
corral	corral	pavo,
~.	~.	pero
No	No	quiero
podemos	podemos	decir
matar	matar	que
pavos	pavos	si
~,	~,	quieres
pero	pero	comprar
quiero	quiero	lo
decir	decir	que
que	que	quieres,
si	si	pues
quieres	quieres	si
comprar	comprar	hago
lo	lo	canadrones
que	que	como
quieres	quieres	en
~,	~,	canadrones,
pues	pues	si
~…	~…	hago
~,	~,	un
si	si	pollo
hago	hago	a
canelones	canalones	los
~,	~,	no,
comen	comen	pollo
canalones	canalones	a
~;	~;	los
si	si	no,
hago	hago	si
un	un	hago
pollo	pollo	arroz
al	al	como
~,	~,	en
al	al	arroz,
horno	horno	li,
~,	~,	no
un	un	tengo,
pollo	pollo	no
al	al	tengo
horno	horno	n'
~;	~;	honoring
si	si	el膊,
hago	hago	no
arroz	arroz	tengo
~,	~,	nada
comen	comen
arroz	arroz
~.	~.
[L-Otra:	[L-Otra:
		Vull			Vull
dir	dir
~…	~…
~,	~,
		]			]
no	no
tengo	tengo
~,	~,
no	no
tengo	tengo
nada	nada
de	de
~…	~…
