estandar	dialectal	whisper
Mínimo	Mínimo	Pues
porque	porque	decir
tampoco	tampoco	nada
~|	~|	porque
ella	ella	te
tampoco	tampoco	contestan
~|	~|	y
por	por	claro
~|	~|	no,
[OTRAS-EM]	[OTRAS-EM]	no,
tampoco	tampoco	no.
~|	~|	Quieres
estudiar	estudiar	un
mucho	mucho	carroza,
tampoco	tampoco	quieres
no	no	un
le	le	saliznada,
gustaba	gustaba
~.	~.
Y	Y
los	los
~,	~,
y	y
los	los
nietos	nietos
a	a
algunos	algunos
les	les
gusta	gusta
menos	menos
~.	~.
[HS:E1	[HS:E1
		Ya			Ya
~.	~.
		]			]
[A-Pau:	[A-Pau:
		Claro			Claro
~.	~.
No	No
me	me
fastidies	fastidies
~.	~.
		]			]
