estandar	dialectal	whisper
No	No	No,
~,	~,	aquí
aquí	aquí	las
las	las	hacían
hacían	hacían	dulces
dulces	dulces	a
nada	nada	devaluar.
más	más	La
~,	~,	otra
la	la	que
otra	otra	hacen
que	que	por
hacen	hacen	estúrries...
por	por	Aquí
Asturias	Asturias	no
[PS]	[PS]	se
aquí	aquí	hacía,
no	no	no
se	se	se
hacían	hacían	hacía
~,	~,	como
no	no	la
sé	sé	hacía.
cómo	cómo	Estúrirles,
la	la	chansagres,
hacen	hacen	las
~.	~.	hacía
En	En	en
Asturias	Asturias	Gros
le	le	en
echan	echan	Ferdurí.
sangre	sangre	No
~,	~,	sé
la	la	que
sangre	sangre	más
del	del	cosas.
cerdo	cerdo	Pero
y	y	aquí
~…	~…	no
no	no	se
sé	sé	hacía.
qué	qué	Hacía
más	más	unas
cosas	cosas	dulces.
~,	~,	Para
pero	pero	gente
aquí	aquí	que
no	no	estaba
se	se	en
hace	hace	régime
~.	~.	que
Hace	Hace	no
~|	~|	podía
hacían	hacían	comer
unas	unas	de
dulces	dulces	Ferdur,
~,	~,	que
para	para	satía
gente	gente	mucho
que	que	más
estaba	estaba	multillesisas.
a	a	La
régimen	régimen	señora
que	que	de
no	no	antes,
podía	podía	que
comer	comer	a
de	de	unas
cerdo	cerdo	de
~,	~,	ahora
pues	pues	ya
hacían	hacían	nos
mucho	mucho	ha
más	más	vengan
morcillas	morcillas	a
esas	esas	hacerles.
~.	~.	Y
Las	Las	nos
señoras	señoras	hacía
de	de	así,
antes	antes	tampoco.
~,	~,	Porque
que	que	ahora
las	las	ya
de	de	no
ahora	ahora	quedan
ya	ya	matantes.
no	no	Aquí
saben	saben	no
hacerlas	hacerlas	me
~.	~.	pueden.
Y	Y	La
no	no	gente
se	se	que
hacen	hacen	hay
tampoco	tampoco	muy
~,	~,	mayor,
porque	porque	sólo
ahora	ahora	en
ya	ya	tus
no	no	casas
quedan	quedan	ya
matanzas	matanzas	tengan
~,	~,	matantes.
aquí	aquí	Y
en	en	después
el	el	de
pueblo	pueblo	tomar
~,	~,	la
la	la	dulce,
gente	gente	eran
~,	~,	como
la	la	calabaza,
que	que	que
hay	hay	nos
muy	muy	hacía
mayor	mayor	los
~,	~,	colodeis.
solo	solo	Que
en	en	hacía
dos	dos	empurrarte
casas	casas	calabaza
se	se	mucho,
hacen	hacen	ahora
matanzas	matanzas	en
~.	~.	los
[PS]	[PS]	restaurantes
Y	Y	y
después	después	todo.
nada	nada	Le
más	más	echaba
~.	~.	la
Las	Las	roda,
dulces	dulces	le
eran	eran	echaba
con	con	unos
calabaza	calabaza	pasas
~,	~,	y
que	que	le
no	no	echaba
sé	sé	varios
si	si	cosas.
los	los	Y
conocéis	conocéis	después
~.	~.	se
Que	Que	hacía
hacen	hacen	una
puré	puré	olla
de	de	como
calabaza	calabaza	aquí
mucho	mucho	en
ahora	ahora	YouTube.
en	en	Después
~…	~…	se
~,	~,	empotían
en	en	en
los	los	las
restaurantes	restaurantes	tricas
y	y	de
todo	todo	Terno.
~.	~.	Después
Le	Le	se
echaban	echaban	curaban
arroz	arroz	el
~,	~,	alumno
le	le	también,
echaban	echaban	hasta
uvas	uvas	que
pasas	pasas	estaban
~,	~,	bien
e	e	correcto.
le	le	Y
echaban	echaban	mucha
varias	varias	tucar
cosas	cosas	la
~.	~.	echada.
Después	Después	Después
hacían	hacían	se
~…	~…	curaban
una	una	el
olla	olla	alumno
con	con	también.
aquello	aquello	Y
todo	todo	ahora
y	y	en
después	después	ricas,
se	se	ahora
embutían	embutían	como
en	en	un
la	la	postre,
tripa	tripa	pero
de	de	en
cerdo	cerdo	ricas,
[PS]	[PS]	yo
y	y	mi
después	después	casa
se	se	nunca
curaban	curaban	se
al	al	pierde.
humo	humo	Yo
también	también	yo
~,	~,	yo
hasta	hasta	yo
que	que	de
estaban	estaban	ahí,
bien	bien	a
[A-PIn:	[A-PIn:	ver
		curaditas			curaditas	si
		]			]	era
~,	~,	una
y	y	señora
mucho	mucho	tabla.
azúcar	azúcar	Y
le	le	la
echaban	echaban	romance
~.	~.	a
Y	Y	la
después	después	coquera
se	se	la
curaban	curaban
al	al
humo	humo
también	también
~;	~;
eran	eran
ricas	ricas
~,	~,
era	era
como	como
un	un
postre	postre
~,	~,
pero	pero
eran	eran
ricas	ricas
~.	~.
Yo	Yo
no	no
~,	~,
en	en
mi	mi
casa	casa
nunca	nunca
se	se
hicieron	hicieron
~,	~,
pero	pero
bueno	bueno
~,	~,
yo	yo
ayudé	ayudé
a	a
llenarlas	llenarlas
~,	~,
a	a
hacer	hacer
ahí	ahí
una	una
señora	señora
[R-Cas]	[R-Cas]
[A-Inn]	[A-Inn]
~.	~.
Y	Y
nada	nada
más	más
era	era
lo	lo
que	que
había	había
de	de
matanzas	matanzas
~.	~.
