estandar	dialectal	whisper
Sí	Sí	a
~,	~,	la
la	la	gente
gente	gente	que
que	que	yo,
eso	eso	pues
~,	~,	ya
pues	pues	se
antes	antes	nos
lo	lo	compraba,
compraban	compraban	o
~.	~.	sea,
Claro	Claro	lo
~,	~,	iba
ibas	ibas	a
~…	~…	hacer,
Tampoco	Tampoco	tampoco
se	se	se
compraba	compraba	compraba
pa	pa	para
las	las	las
casas	casas	casas,
~,	~,	porque
porque	porque	ya
antes	antes	se
la	la	le
costumbre	costumbre	acostumbré
que	que	que
era	era	ya
que	que	se
se	se	le
levantaba	levantaba	pasaba
la	la	a
gente	gente	la
~…	~…	gente
~,	~,	mi
mi	mi	padre,
padre	padre	es
~,	~,	por
por	por	ejemplo
ejemplo	ejemplo	a
~,	~,	gente
la	la	mayor,
gente	gente	y
mayor	mayor	va
~,	~,	a
iba	iba	alvar
al	al	y
bar	bar	una
[R_Tlf]	[R_Tlf]	comida
y	y	de
una	una	la
copita	copita	comida
~,	~,	se
[HCruz:	[HCruz:	le
						conoce,
Anonimizado	Anonimizado	y
		una
~,	~,	comida
coge	coge	de
el	el	la
teléfono	teléfono	valencia,
~…	~…	se
		]			]	los
y	y	va
una	una	a
copita	copita	vaina
de	de	y
aguardiente	aguardiente	unas,
~.	~.	o
Se	Se	sea,
tomaban	tomaban	aquí,
en	en	o
ayunas	ayunas	aquí,
~.	~.	se
O	O	nos
sea	sea	habrían
~,	~,	el
que	que	rey,
aquí	aquí	y
aguardiente	aguardiente	los
no	no	tomaba,
ha	ha	o
habido	habido	sea,
~,	~,	el
iban	iban	hombre
al	al	se
bar	bar	le
y	y	gustaba
se	se	y
lo	lo	se
tomaban	tomaban	nos
~.	~.	ven,
Eh	Eh	acá
~,	~,	hay
hombre	hombre	una
~,	~,	botella,
el	el	se
que	que	confinaba
le	le	así,
gustaba	gustaba	y
decía	decía	se
~:	~:	la
«~	«~	compraba
Pues	Pues	una
venga	venga	botella
~,	~,	para
trae	trae	casa,
~,	~,	pero
dame	dame	vamos,
una	una	para,
botella	botella	aquí,
~,	~,	a
te	te	seriesos,
compro	compro	aquí
una	una	es
botella	botella	una,
en	en	aquí,
la	la	a
tienda	tienda	seriesos,
~»	~»	Lithu
~,	~,	Nicholas
y	y
se	se
la	la
compraba	compraba
~,	~,
una	una
botella	botella
pa	pa
casa	casa
~,	~,
pero	pero
vamos	vamos
~,	~,
para	para
~…	~…
Hac-	Hac-
~,	~,
Aquí	Aquí
hacer	hacer
y	y
eso	eso
~,	~,
no	no
~.	~.
Aquí	Aquí
eso	eso
~,	~,
nada	nada
~,	~,
de	de
vino	vino
y	y
eso	eso
~,	~,
nada	nada
~.	~.
