estandar	dialectal	whisper
Pues	Pues	No,
nada	nada	no,
~,	~,	luego
luego	luego	ya
ya	ya	se
se	se	creaba,
criaban	criaban	había
~,	~,	que
tenía	tenía	estar
~|	~|	al
había	había	horno
que	que	de
echar	echar	comer
de	de	a
comer	comer	la
a	a	madre
la	la	y
madre	madre	si
y	y	ponía
se	se	a
ponía	ponía	ir
allí	allí	un
un	un	cacharrito
cacharrito	cacharrito	también,
también	también	ellos
~,	~,	iban
si	si	comiendo,
ellos	ellos	cuando
iban	iban	ya
comiendo	comiendo	salía
~,	~,	de
cuanto	cuanto	grascaron
que	que	y
ya	ya	van
salían	salían	comiendo,
del	del	los
cascarón	cascarón	polos,
iban	iban	y
comiendo	comiendo	a
~,	~,	una
los	los	vez
pollos	pollos	que
~,	~,	ya
y	y	andaban,
ya	ya	pues
una	una	ya
vez	vez	se
que	que	sacaban
ya	ya	por
andaban	andaban	el
~,	~,	patio
pues	pues	y
ya	ya	sus
se	se	madres
sacaban	sacaban	encargaba
por	por	ya
el	el	de
patio	patio	dar
y	y	su
su	su	giro
madre	madre	y
se	se	de
encargaba	encargaba	comer
ya	ya	en
de	de	lo
~…	~…	que
~,	~,	las
de	de	chavas
~…	~…	tú,
~,	~,	ya
de	de	era
darlos	darlos	luego,
su	su	ya
~,	~,	cuando
su	su	era
giro	giro	mayor
y	y	de
de	de	los
comer	comer	ditos,
lo	lo	los
que	que	chavas
les	les	un
echabas	echabas	poco
tú	tú	trigo,
~,	~,	un
ya	ya	poco
eran	eran	de
~,	~,	va
luego	luego	y
~,	~,	esa
ya	ya	es
cuándo	cuándo
eran	eran
mayorcitos	mayorcitos
o	o
bien	bien
echabas	echabas
un	un
poco	poco
trigo	trigo
~,	~,
un	un
poco	poco
cebada	cebá
y	y
esas	esas
cosas	cosas
~.	~.
