estandar	dialectal	whisper
Una	Una	una
cosa	cosa	cosa
por	por	por
el	el	el
estilo	estilo	estilo
~,	~,	de
era	era	la
~,	~,	guerra
era	era	de
residencia	residencia	la
de	de	guerra
cabras	cabras	de
~,	~,	la
que	que	guerra
por	por	de
la	la	cabras,
mañana	mañana	que
iban	iban	por
~,	~,	la
las	las	mañana
llevaban	llevaban	y
al	al	van,
campo	campo	las
~,	~,	llevaban
pagabas	pagabas	al
a	a	campo
lo	lo	que
mejor	mejor	apagaban
una	una	a
peseta	peseta	ser
todos	tos	una
los	los	peseta
meses	meses	todos
y	y	los
~,	~,	meses
[HS:I2	[HS:I2	y
		[A-Inn]			[A-Inn]	le
		]			]	mataban
y	y	y
~,	~,	a
y	y	uno
había	había	que
uno	uno	con
que	que	el
~,	~,	que
que	que	pagaba
con	con	al
eso	eso	pastor
pagaba	pagaba	y
el	el	la
pastor	pastor	región
~,	~,	de
y	y	Afuapaz,
las	las
residencias	residencias
pues	pues
pasa	pasa
igual	igual
~.	~.
[R-Vhc]	[R-Vhc]
