estandar	dialectal	whisper
Se	Se	y
lo	lo	entonces
tomó	tomó	como
~…	~…	yo
~¡~	~¡~	no
Buh	Buh	lo
~…	~…	pones,
~!	~!	si
[RISAS]	[RISAS]	es
Se	Se	nada
echó	echó	porque
a	a	si
llorar	llorar	yo
~.	~.	lo
Entonces	Entonces	decía,
como	como	tú
yo	yo	tienes
~,	~,	la
yo	yo	culpa,
no	no	que
le	le	no
podía	podía	gastar
decir	decir	cuidado
na	na	de
porque	porque	la
yo	yo	lilla.
~|	~|	Yo
si	si	no
~,	~,	tenía
si	si	la
yo	yo	culpa
le	le	de
decía	decía	tú.
~:	~:	Tanto
«~	«~	es
~¡~	~¡~	que
Tú	Tú	a
tienes	tienes	mi
la	la	niño
culpa	culpa	he
~,	~,	tenido
que	que	cuando
no	no	le
has	has	escribo,
estao	estao	le
al	al	escribió
cuidado	cuidao	a
de	de	la
la	la	carta
niña	niña	a
~!	~!	la
~»	~»	final,
~.	~.	ponía
Yo	Yo	de
tenía	tenía	tu
la	la	culpa.
culpa	culpa	Y
de	de	entonces,
to	to	por
~.	~.	mí,
Tanto	Tanto	la
es	es	mano
que	que	es
a	a	pasible,
mi	mi	la
niño	niño	menor,
este	este	pues,
~,	~,	se
cuando	cuando	llegó
le	le	a
escribo	escribo	su
~,	~,	padre
le	le	a
escribía	escribía	día
las	las	donde
cartas	cartas	estaba
~,	~,	la
al	al	máquina
final	final	de
le	le	grabar
ponía	ponía	la
«~	«~	lápida
de	de	y
tu	tu	eso
culpa	culpa	que
~»	~»	teníamos.
~.	~.	Y
[RISAS]	[RISAS]	si
Y	Y	es
entonces	entonces	papá,
pos	pos	mira,
mi	mi	ella
~,	~,	se
mi	mi	casaba,
		el
Anonimizado	Anonimizado	saide
		de
que	que	mayo,
es	es	porque
la	la	la
más	más	familia
apacible	apacible	de
~,	~,	mi
la	la	niño
mejor	mejor	estaba
~,	~,	en
pos	pos	Barcelona,
se	se	migrado,
llevó	llevó	porque
a	a	era
su	su	más
padre	padre	pobre,
allí	allí	migrado
adonde	adonde	mucho
estaba	estaba	por
la	la	Barcelona,
~,	~,	estaba
la	la	en
máquina	máquina	un
de	de	agicolo
~,	~,	a
de	de	la
grabar	grabar	mano
las	las	de
lápidas	lápidas	mi
y	y	consueiro,
eso	eso	casi
~,	~,	todo
que	que	esto,
teníamos	teníamos	es
~,	~,	que
y	y	era
~…	~…	un
dice	dice	día
~:	~:	hermano.
«~	«~	Era
Papá	Papá	su
~,	~,	madre
mira	mira	la
