estandar	dialectal	whisper
No	No	y
~,	~,	tenia
algunas	algunas	usted
~,	~,	que
algunas	algunas	entonces
paren	paren	presente
bien	bien	en
~,	~,	el
les	les	parto,
viene	viene	¿no?
bien	bien	y
venido	venío	la
y	y	tenía
entonces	entonces	que
lo	lo	hacer.
echan	echan	No,
y	y	no,
empiezan	empiezan	no,
a	a	no,
lamerlo	lamelo	para
y	y	el
no	no	mie,
meter	meter	y
meter	meter	debí
~,	~,	de
no	no	bien
meter	meter	venir,
meter	meter	y
~,	~,	a
pero	pero	lo
otras	otras	que
no	no	me
~.	~.	lo
Es	Es	hecha,
según	según	me
el	el	dan
parto	parto	al
~,	~,	menos,
cómo	cómo	no
les	les	me
venga	venga	te
~.	~.	meté,
Anteayer	Anteayé	no
me	me	me
parió	parió	te
una	una	meté,
tres	tres	pero
~,	~,	vos
a	a	rango.
las	las	Es
diez	diez	un
de	de	el
la	la	parto,
noche	noche	como
~,	~,	venmos.
y	y	A
tuve	tuve	este
que	que	mie
sacarselo	sacáselo	me
porque	porque	pareó
el	el	una
primero	primero	tres,
que	que	a
le	le	la
venía	venía	piedra
le	le	de
venía	venía	la
mal	ma	mocha,
~,	~,	y
venía	venía	tú
doblado	doblao	eres
y	y	el
no	no	chatazo.
podía	podía	Porque
parir	parir	yo
 	 	te
 	 	quiero
 	 	que
 	 	me
 	 	venía,
 	 	y
 	 	venía
 	 	más.
 	 	No,
 	 	no,
 	 	no.
