estandar	dialectal	whisper
Las	Las	en
habichuelas	habichuelas	la
~,	~,	sabicholas.
pos	pos	Yo
lo	el	los
mismo	mismo	pues
~,	~,	muy
siembras	siembras	muy
y	y	seża
pos	pos	y
ya	ya	pudiese
tienes	tienes	rescit
pa	pa	cuadras
tené	tené	telepar
pa	pa	Mommy
la	la	a
casa	casa	casa
o	o	pod
~,	~,	возziber
si	si	ahora
siembras	siembras	más
esas	esas	mal
pa	pa	como
tener	tener	ahí.
tiernas	tiernas	y
~,	~,	benchmark
las	las	ajuda
coges	coges	Oregon
cuando	cuando
son	son
~…	~…
~,	~,
están	están
tiernas	tiernas
pa	pa
comer	comé
~.	~.
Sí	Sí
~,	~,
sí	sí
~.	~.
Sí	Sí
~.	~.
