estandar	dialectal	whisper
Pero	Pero	Pero
esta	esta	está
to	to	tolin
el	el	bien,
invierno	invierno	no
ahí	ahí	hay
~,	~,	pequeñicas,
pequeñica	pequeñica	pequeñicas,
~,	~,	pequeñicas.
pequeñica	pequeñica	Y
~,	~,	luego
pequeñica	pequeñica	en
y	y	el
luego	luego	abrir
en	en	y
el	el	mayo
abril	abril	se
y	y	desarrolla,
mayo	mayo	cuando
se	se	viene
desarrolla	desarrolla	la
~,	~,	primavera,
cuando	cuando	se
viene	viene	desarrolla
la	la	y
primavera	primavera	entonces
se	se	se
desarrolla	desarrolla	asesita,
y	y	se
entonces	entonces	asesiega
se	se	y
hace	hace	se
así	así
alta	alta
y	y
se	se
siega	siega
~.	~.
