estandar	dialectal	whisper
Pos	Pos	¿Cómo
pedida	pedida	fue
va	va	pedida?
~…	~…	Pues
~,	~,	pedí
pos	pos	a
te	te	la
van	van	ola
los	los	padre
~…	~…	porque
~,	~,	no
los	los	tiene
padres	padres	padre,
~---~	~---~	mi
porque	porque	marido,
no	no	su
tiene	tiene	madre,
padre	padre	su
mi	mi	hermana,
marido	marío	su
~,	~,	hermana,
no	no	su
tiene	tiene	unidad,
[A-PIn:	[A-PIn:	esto
		más			más	fuimos,
que	que	nos
		]			]	juntemos
su	su	todo,
madre	madre	hicimos
~,	~,	una
su	su	cena
hermana	hermana	y
~,	~,	nada,
su	su	te
hermano	hermano	reacusiste
~,	~,	realmente,
su	su	te
cuñada	cuñada	dan
~--~	~--~	tu
-	-	regalo
~.	~.	de
Todos	Tos	pedía,
fuimos	fuimos	lo
~,	~,	que
nos	nos	puede
juntamos	juntemos	y
todos	todos	cada
~,	~,	uno
hicimos	hicimos	lo
una	una	puede
~…	~…	y
~,	~,	ya
una	una	está,
cena	cena	mien
y	y	seguida,
na	na	te
~.	~.	corre
Te	Te	en
~…	~…	la
~,	~,	molestación
que	que	esa
si	si	que
te	te	corre
regalan	regalan	en
~…	~…	antes,
~,	~,	no
te	te	sé
dan	dan	si
tu	tu	arrolo
regalo	regalo	ahora,
de	de	y
pedida	pedía	por
~,	~,	favor.
lo	lo	Para
que	que	miren
puede	puede	lo
~…	~…	que
~,	~,	sobre
cada	cada	todoaratosones
uno	uno	que
lo	lo	sí
que	que	han
puede	puede	hecho
y	y	y
ya	ya	están
está	está	oído
~.	~.	decidas
Y	Y	y
enseguida	enseguida	me
pos	pos	vire
~…	~…	para
te	te	ir
corren	corren	a
las	las	su
amonestaciones	amolestaciones
~,	~,
esas	esas
que	que
corrían	corrían
antes	antes
~,	~,
que	que
no	no
sé	sé
si	si
ahora	ahora
lo	lo
harán	harán
~,	~,
que	que
no	no
lo	lo
sé	sé
~…	~…
Y	Y
te	te
cas--	cas--
~…	~…
~,	~,
pos	pos
te	te
~…	~…
~,	~,
me	me
casé	casé
~…	~…
[A-PIn:	[A-PIn:
		aquí			aquí
en	en
Roldán	Roldán
		]			]
y	y
me	me
vine	vine
pa	pa
aquí	aquí
~.	~.
