estandar	dialectal	whisper
Ahí	Ahí	y
se	se	eso
~,	~,	que
ahí	ahí	la
donde	donde	mujer,
está	está	que
~,	~,	la
se	se	hombre
sienta	asienta	le
ahí	ahí	ayuda
y	y	a
[HS:I2	[HS:I2	la
		Yo			Yo	mujer
eso	eso	a
lo	lo	la
veo	veo	labor
bien	bien	de
		]			]	la
si	si	casa,
no	no	tú
le	le	eso
pongo	pongo	lo
~,	~,	veo,
«~	«~	yo
~¡~	~¡~	veo,
que	que	yo
no	no	veo,
me	me	yo
has	has	yo
traído	traído	yo
el	el	yo
buchillo	buchillo	yo
~!	~!	yo
~»	~»	yo
~.	~.	yo
Digo	Digo	yo
~:	~:	yo
«~	«~	yo
Pues	Pues	también
párate	párate	he
~,	~,	fregón
que	que	plato
está	está	a
ahí	ahí	mejor
~»	~»	de
~.	~.	mi
Pero	Pero	vida,
no	no	yo
~,	~,	yo
no	no	yo
se	se	no
para	para	frejo
 	 	ninguno,
 	 	a
 	 	mejor
 	 	de
 	 	fregón
 	 	a
 	 	mejor
 	 	de
 	 	fregón,
 	 	a
 	 	mejor
 	 	de
 	 	fregón,
 	 	uno
 	 	porque
 	 	se
 	 	ha
 	 	presentado,
 	 	pero
 	 	no
 	 	los
 	 	fregapos
 	 	que
 	 	no
 	 	he
 	 	tenido
 	 	la
 	 	periga,
 	 	pero
 	 	yo
 	 	lo
 	 	veo,
 	 	yo
 	 	no
 	 	le
 	 	pongo,
 	 	no
 	 	me
 	 	frejo,
 	 	yo
 	 	digo
 	 	para
 	 	te
 	 	que
 	 	está
 	 	allí,
 	 	pero
 	 	no,
 	 	no
 	 	se
 	 	va.
