estandar	dialectal	whisper
¿~	¿~	A
A	A	mí,
mí	mí	que
~?	~?	era
Geografía	Geografía	bien
y	y	historia.
Historia	Historia	Y
~.	~.	ahora
Y	Y	mismo
ahora	ahora	que
mismo	mismo	lo
~,	~,	vio
de	de	de
los	los	las
libros	libros	cosas,
de	de	que
la	la	están
moceta	moceta	estudiando
que	que	esos...
está	está	esos
estudiando	estudiando	es
esa	esa	el
~…	~…	ciso
~,	~,	todo,
eso	eso	pues
~…	~…	muchas
instituto	instituto	veces
~,	~,	me
pues	pues	he
muchas	muchas	pasado
veces	veces	tarde
me	me	a
paso	paso	entera
tardes	tardes	leindo,
enteras	enteras	eso
leyendo	leyendo	es
~.	~.	si
Eso	Eso	me
sí	sí	gusta.
me	me	¡No,
gusta	gusta	yo
~,	~,	me
pero	pero
me	me
gusta	gusta
mucho	mucho
~.	~.
