estandar	dialectal	whisper
Pues	Pues	Pero
los	los	en
anillos	anillos	San
se	se	Dilloso
~,	~,	es
se	se	el
compraba	compraba	compravés,
y	y	en
se	se	la
~…	~…	ceremonia
~,	~,	se
se	se	encontraban
~,	~,	en
se	se	las
~,	~,	dos
en	en	partes.
la	la	Ahora,
ceremonia	ceremonia	yo
se	se	creo
~…	~…	que
~,	~,	siguen
se	se	ahí
compraba	compraba	en
entre	entre	la
las	las	cuestión
dos	dos	de
partes	partes	la
~,	~,	gente.
claro	claro	En
~.	~.	los
[HS:E2	[HS:E2	que
		[Asent]			[Asent]	se
~.	~.	alijó
		]			]	este
Sí	Sí	junio,
~.	~.	se
Ahora	Ahora	acaso
~,	~,	al
ahora	ahora	dijo
pues	pues	que
no	no	se
sé	sé	más
~,	~,
yo	yo
creo	creo
que	que
sigue	sigue
la	la
misma	misma
costumbre	costumbre
~,	~,
¿~	¿~
no	no
~?	~?
Sí	Sí
~.	~.
[HS:I2	[HS:I2
		Se			Se
nos	nos
casa	casa
el	el
hijo	hijo
~.	~.
		]			]
Se	Se
nos	nos
casa	casa
el	el
hijo	hijo
este	este
~…	~…
~,	~,
en	en
junio	junio
~,	~,
[HS:E2	[HS:E2
		[Asent]			[Asent]
~.	~.
		]			]
en	en
junio	junio
se	se
casa	casa
el	el
hijo	hijo
~,	~,
que	que
es	es
el	el
más	más
joven	joven
~,	~,
¿~	¿~
eh	eh
~?	~?
Sí	Sí
~.	~.
