estandar	dialectal	whisper
¿~	¿~	¿Cada
Pastor	Pastor	a
~,	~,	familia?
pastor	pastor	No,
~?	~?	no.
[HS:E1	[HS:E1	Como
		¿~			¿~	cabreros
Había	Había	no
que	que	aquí,
~,	~,	solo
había	había	en
que	que	cada
ser	ser	casa
algo	algo	había...
especial	especial	El
~?	~?	padre
		]			]	o
Cada	Cada	el
~,	~,	hijo,
cada	cada	el
familia	familia	pastor.
~,	~,	Mis
cada	cada	hermanos,
fami-	fami-	la
~;	~;	ley
no	no	de
~,	~,	la
no	no	rey,
~.	~.	teníamos
[OTRAS-EM]	[OTRAS-EM]	allá
Como	Como	una
cabreros	cabreros	borda.
~,	~,	Y
no	no	sonía
~.	~.	esa
Aquí	Aquí	mi
suele	suele	hermano,
~,	~,	el
en	en	segundo.
cada	cada	Igual
casa	casa	un
había	había	mes
pues	pues	allá,
~…	~…	sin
el	el	venir
padre	padre	a
o	o	casa.
el	el	Cuando
hijo	hijo	había
pastor	pastor	nieve
~.	~.	y
Mis	Mis	así,
hermanos	hermanos	teníamos
solían	solían	en
ir	ir	hierba
a	a	allá.
Leitzelarrea	Leitzelarrea	Y
y	y	allá,
teníamos	teníamos	el
allá	allá	pastorio
una	una	allá
borda	borda	decía
~,	~,	una
y	y	borda
solía	solía	que
estar	estar	teremos
mi	mi	allá
hermano	hermano	en
~,	~,	el
el	el	lente
segundo	segundo	de
~,	~,	la
pues	pues
igual	igual
un	un
mes	mes
allá	allá
sin	sin
venir	venir
a	a
casa	casa
~.	~.
Cuando	Cuando
había	había
nieve	nieve
y	y
así	así
~,	~,
teníamos	teníamos
hierba	hierba
allá	allá
~,	~,
y	y
~…	~…
allá	allá
~,	~,
pastoreo	pastoreo
allá	allá
hacía	hacía
~.	~.
Una	Una
borda	borda
que	que
tenemos	tenemos
allá	allá
en	en
Leitzelarrea	Leitzelarrea
~.	~.
