estandar	dialectal	whisper
Yo	Yo	Y
no	no	mirando
lo	lo	a
recuerdo	recuerdo	vidro
~.	~.	sin
En	En	fútbol,
Miranda	Miranda	decíamos
ha	ha	el
habido	habido	bicario,
siempre	siempre	el
tres	tres	cuajutor
curas	curas	y
~.	~.	el
Le	Le	8
decíamos	decíamos	milo
el	el	como
vicario	vicario	tuñadas,
~,	~,	o
el	el	los
facultor	facultor	dos
~,	~,	cuajutores,
y	y	decían,
el	el	y
otro	otro	el
no	no	bicario,
sé	sé	ya
cómo	cómo	vi
se	se	de
llama	llama	6
eso	eso	milo
~,	~,	y
o	o	de
los	los	3
dos	dos	milo.
facultores	facultores	Delicious,
~,	~,	her
decían	decían	οποiene
~,	~,	1
y	y	milo
el	el	de
vicario	vicario	ediggle
~.	~.	con
Pero	Pero	ganas
ha	ha	de
habido	habido	entre
siempre	siempre	alive
en	en	y
Miranda	Miranda	hablando
tres	tres	del
curas	curas	curio,
~…	~…	le
Ahora	Ahora	dito
no	no	bastardas
hay	hay	y
más	más	pierdan
que	que	las
uno	uno	bezas,
 	 	esta
 	 	vez
 	 	en
 	 	el
 	 	mes,
