estandar	dialectal	whisper
a	a	a
todo	todo	todos
estos	estos	los
que	que	que
~,	~,	es
que	que	que
son	son	son
~,	~,	pendientes,
pendi-	pendi-	como
~,	~,	se
¿~	¿~	dice
cómo	cómo	esto,
se	se	dependientes,
dice	dice	pues
esto	esto	han
~?	~?	puesto
~,	~,	ayuda.
dependientes	dependientes	Y
~,	~,	claro,
pues	pues	pues
han	han	igual
puesto	puesto	está
ayuda	ayuda	un...
~.	~.	Bueno,
Y	Y	ayuda
claro	claro	tenía
~,	~,	a
pues	pues	cabo
yo	yo	el
he	ha	prelido,
estado	estao	quiero
~,	~,	decir
bueno	bueno	de
~,	~,	la
ayuda	ayuda	comunidad
tenía	tenía	social
que	que	hace
haber	haber	años,
pedido	pedido	pero
~,	~,	me
quiero	quiero	lo
decir	decir	iba
~,	~,	haciendo
de	de	y
la	la	todo.
Seguridad_Social	Seguridad_Social	Lo
~,	~,	bañaba,
hace	hace	lo
años	años	levantaba,
~.	~.	y
Pero	Pero	también
me	me	la
lo	lo	hibanía,
iba	iba	porque
haciendo	haciendo	la
yo	yo	seguridad
todo	todo	social
~.	~.	no
Lo	Lo
bañaba	bañaba
~,	~,
lo	lo
levantaba	levantaba
~.	~.
Hoy	Hoy
también	también
la	la
he	he
bañado	bañao
~,	~,
porque	porque
la	la
Seguridad_Social	Seguridad_Social
no	no
viene	viene
~.	~.
