estandar	dialectal	whisper
Si	Si	y
resistes	resistes	resistos.
~…	~…	Eso
[HS:I2	[HS:I2	sí
		[L-Otra:			[L-Otra:	que
		Eso			Eso	ha
si	si	hecho.
que	que	Claro.
era	era	Se
unha	unha	trae
festa	festa	un
bonita	bonita	malo.
		]			]	Se
~.	~.	trae
		]			]	un
[HS:E2	[HS:E2	malo.
		Claro			Claro	Lo
~.	~.	tiene
		]			]	un
Se	Se	malo.
trae	trae	Lo
una	una
~…	~…
[HS:E1	[HS:E1
		¿~			¿~
Y	Y
aquí	aquí
se	se
hacía	hacía
también	también
lo	lo
de	de
los	los
[L-Otra:	[L-Otra:
		furanchos			furanchos
		]			]
~?	~?
		]			]
se	se
trae	trae
una	una
~,	~,
[HS:I3	[HS:I3
		¿~			¿~
Lo	Lo
qué	qué
~?	~?
		]			]
una	una
~…	~…
