estandar	dialectal	whisper
Pues	Pues	Pues
sí	sí	sí,
~,	~,	eso
eso	eso	de
de	de	los
los	los	olores
olores	olores	era
era	era	cuestión
cuestión	cuestión	de
de	de	cosas
~,	~,	como
de	de	nuestros
cosas	cosas	oritos,
como	como	a
en	en	mí
los	los	a
chorizos	chorizos	que
había	había	le
quien	quien	echaba
echaba	echaba	ajo,
ajo	ajo	otros
~,	~,	no
[V-Ljn]	[V-Ljn]	echaban
otros	otros	ajo,
no	no	pero
echaban	echaban	tiene
ajo	ajo	que
~,	~,	ser
¿~	¿~	una
entiende	entiende	cuestión
~?	~?	de
~,	~,	la
eso	eso	gente
era	era	y
cuestión	cuestión	la
de	de	cocinaera.
~,	~,	Y
[HS:E1	[HS:E1	algunos
		[Asent]			[Asent]	en
~.	~.	los
		]			]	oritos,
de	de	en
la	la	vez
gente	gente	de
y	y	eso,
la	la	echaba
cocinera	cocinera	vino
y	y	blanco.
alguno	alguno	En
en	en	vez
los	los	de
chorizos	chorizos	agua
en	en	para
vez	vez	entre
de	de	las
eso	eso	hijas,
echaba	echaba	o
vino	vino	sea,
blanco	blanco	al
~.	~.	revolver
[HS:E1	[HS:E1	todo
		Bueno			Bueno	ello,
~,	~,	echaban
bueno	bueno	vino
~.	~.	blanco,
		]			]	que
En	En	metían
vez	vez	unos
de	de	ajo,
agua	agua	les
para	para	majaban
entre	entre	bien,
las	las	entienden
jijas	jijas	un
~,	~,	mortero
o	o	que
sea	sea	era
~,	~,	de
al	al	madera,
revolver	revolver	una
todo	todo	hermité
ello	ello	de
~,	~,	madera,
y	y	y
echaban	echaban	le
vino	vino	majaban
blanco	blanco	los
que	que	morteros,
metían	metían	y
unos	unos	cuando
ajos	ajos	vino
~,	~,	blanco,
les	les	pundero
majaban	majaban	se
bien	bien	regaba
~,	~,	un
¿~	¿~	poquito
entiende	entiende	en
~?	~?	colau,
[HS:E1	[HS:E1	que
		[Asent]			[Asent]	no
~.	~.	irían
		]			]	ninguna
en	en	clase
un	un	de
mortero	mortero	ajo
que	que	abajo,
era	era	la
de	de	sustancia,
madera	madera	pues
~,	~,	porque
un	un	podía
almirez	almirez	torcerles,
de	de	o
madera	madera	de
~,	~,	no
[HS:E1	[HS:E1	ser
		Sí			Sí	bien,
~.	~.	y
		]			]	siendo
que	que	solamente
llamábamos	llamábamos	las
mortero	mortero	aguas,
[HS:E1	[HS:E1	sobre
		Sí			Sí	el
~,	~,	líquido,
mortero	mortero	de
~.	~.	lo
		]			]	mismo
y	y	de
con	con	algunos
el	el	que
vino	vino	el
blanco	blanco	otro,
~,	~,	pues
pum	pum	cogía
[ONOMAT]	[ONOMAT]	la
~,	~,	aroma
luego	luego	del
se	se	ajo,
regaba	regaba	de
un	un	tal,
poquitín	poquitín	y
~;	~;	lo
colao	colao	con
~,	~,	él,
¿~	¿~	y
eh	eh	varias
~?	~?	cosas
~,	~,	de
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
que	que
no	no
iría	iría
ninguna	ninguna
clase	clase
de	de
~,	~,
de	de
ajo	ajo
abajo	abajo
~,	~,
[HS:E1	[HS:E1
		~¡~			~¡~
Ah	Ah
~!	~!
¿~	¿~
Por	Por
qué	qué
~?	~?
		]			]
na	na
más	más
la	la
sustancia	sustancia
~.	~.
Pues	Pues
porque	porque
podía	podía
torcerles	torcerles
~,	~,
podía	podía
~…	~…
no	no
~,	~,
no	no
servían	servían
~.	~.
Y	Y
siendo	siendo
solamente	solamente
las	las
aguas	aguas
o	o
el	el
líquido	líquido
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
que	que
lo	lo
mismo	mismo
da	da
lo	lo
uno	uno
que	que
lo	lo
otro	otro
~,	~,
pues	pues
cogía	cogía
l'el_aroma	l'aroma
y	y
el	el
~…	~…
del	del
~,	~,
del	del
ajo	ajo
y	y
tal	tal
y	y
laurel	laurel
[HS:E1	[HS:E1
		Claro			Claro
~.	~.
		]			]
y	y
en	en
fin	fin
varias	varias
~,	~,
varias	varias
cosas	cosas
de	de
esas	esas
~,	~,
sí	sí
~.	~.
