estandar	dialectal	whisper
No	No	...cuando......por
~.	~.	un
[HS:E1	[HS:E1	fiesta
		¿~			¿~	por
Cuándo	Cuándo	pequeña
~?	~?	que
		]			]	habría
Por	Por	bailé.
una	una	Pero
fiesta	fiesta	también
por	por	generando
pequeña	pequeña	beggaros
que	que	desska
habría	habría	en
había	había	es
baile	baile	dro
~.	~.	este
[R-Vcs]	[R-Vcs]
Los	Los
días	días
de	de
diario	diario
~,	~,
los	los
días	días
de	de
diario	diario
no	no
~,	~,
¿~	¿~
eh	eh
~?	~?
~,	~,
los	los
días	días
de	de
diario	diario
~,	~,
no	no
~.	~.
