estandar	dialectal	whisper
unos	unos	de
diez	diez	un
o	o	dos,
doce	doce	diez
kilómetros	kilómetros	o
hacia	hacia	dos
el	el	de
norte	norte	kilómetros
~,	~,	a
[HS:E1	[HS:E1	peas
		Sí			Sí	norte.
~.	~.	Sí.
		]			]	Por
por	por	ahí
ahí	ahí	la
las	las	verdad
vas	vas	pada
~,	~,	con
las	las	el
ves	ves	chino,
tapadas	tapadas	que
con	con	no
el	el	las
chisme	chisme	conoces,
~,	~,	ya
que	que	se
no	no	está
las	las	hablando
conoces	conoces	con
y	y	ella.
has	has	El
estado	estao	tapada
hablando	hablando	y
con	con	al
ellas	ellas	campo,
~;	~;	espero
tapadas	tapadas	la
y	y	campa
al	al	trabajar
campo	campo	de
~,	~,	verdad
pero	pero	y
al	al	ir
campo	campo	a
a	a	cargar
trabajar	trabajar	a
de	de	bueno
verdad	verdad
y	y
ir	ir
a	a
cargar	cargar
[HS:I1	[HS:I1
		Pa			Pa
que	que
no	no
se	se
quemaran	quemaran
		]			]
abono	abono
y	y
todo	todo
~.	~.
