estandar	dialectal	whisper
Aquí	Aquí	Aquí
~,	~,	no,
aquí	aquí	aquí
no	no	no.
~.	~.	Aquí
Adonde	Adonde	no.
los	los	Son
solían	solían	días
ordeñar	ordeñar	no
es	es	ordenales
en	en	en
Campos	Campos	campos
~,	~,	que
que	que	se
se	se	llama
llama	llama	Iparazagú,
~,	~,	de
ahí	ahí	ahí,
para	para	a
Sahagún	Sahagún	partir
~,	~,	de
de	de	campos,
ahí	ahí	por
pa	pa	la
Tierra_de_Campos	Tierra_de_Campos	parte
~,	~,	de
por	por	Zádee
la	la	Grajá,
parte	parte	y
esa	esa	todo,
de	de	por
Grajal	Grajal	la
y	y	interradilla,
todo	todo	pero
eso	eso	temprario,
y	y	todo
~…	~…	eso,
por	por	ahí
ahí	ahí	ya
Taradillo	Taradillo	sí.
~,	~,	Ahí
to	to	ya
los	los	hacen
Templarios	Templarios	que
~,	~,	yo,
to	to	y
eso	eso	todo
~,	~,	eso
ahí	ahí	es
ya	ya	todo.いる
sí	sí	algunas
~.	~.	cosas.
Ahí	Ahí
ya	ya
~…	~…
pues	pues
hacen	hacen
queso	queso
[HS:I2	[HS:I2
		Queso			Queso
~.	~.
		]			]
y	y
todas	todas
las	las
cosas	cosas
~.	~.
