estandar	dialectal	whisper
Para	Para	algunas
lo	lo	danises
que	que	un
me	me	dinero
haría	haría	pedirías
falta	falta	equals
~.	~.	ہo
[HS:E	[HS:E	le
		Bueno			Bueno	pasaron
~,	~,
pues	pues
nada	nada
~.	~.
		]			]
Di-	Di-
~,	~,
di-	di-
~,	~,
dinero	dinero
pediría	pediría
~,	~,
sí	sí
~,	~,
hija	hija
~,	~,
sí	sí
~.	~.
Lo	Lo
digo	digo
con	con
toda	toda
la	la
franqueza	franqueza
~,	~,
que	que
no	no
me	me
faltara	faltara
un	un
duro	duro
~.	~.
No	No
mucho	mucho
~,	~,
¿~	¿~
pa	pa
qué	qué
~?	~?
No	No
~.	~.
