estandar	dialectal	whisper
|T10|	|T10|	hay
|T11|	|T11|	que
hay	hay	les
quien	quien	sobra
les	les	que
sobra	sobra	les
y	y	venden,
les	les	hay
vende	vende	muchos
~.	~.	que
Sí	Sí	les
hombre	hombre	venden,
~,	~,	mira
[HS:E1	[HS:E1	aquí
		¿~			¿~	tenemos
Sí	Sí	un
~?	~?	cura,
		]			]	el
sí	sí	cura
y	y	que
ha-	ha-	tenemos
~,	~,	aquí
hay	hay	que
quien	quien	estrange,
~|	~|	que
hay	hay	estrange,
muchos	muchos	que
que	que	estrange,
les	les	que
venden	venden	estrange,
~.	~.	que
[HS:E1	[HS:E1	estrange,
		[Asent]			[Asent]	entonces
~.	~.	se
		]			]	tiene
Mira	Mira	gallinas,
~,	~,	tiene
aquí	aquí	conejos,
~,	~,	tiene
tenemos	tenemos	de
un	un	todo,
cura	cura	tiene
~.	~.	miel,
El	El	tiene
cura	cura	de
que	que	todo,
tenemos	tenemos	y
[Rndo:	[Rndo:	ya
		[A-PIn:			[A-PIn:	digo,
		aquí			aquí	y
es	es	si
bastante	bastante	te
rico	rico	sigues
~,	~,	bien
bastante	bastante	con
rico	rico	hejo,
		]			]	te
		]			]	le
y	y	subes,
es	es	como
cura	cura	sea,
de	de	te
aquí	aquí	ven
~.	~.	en
Pues	Pues	un
ese	ese	conejo,
tiene	tiene	y
~,	~,	se
ese	ese	vive
tiene	tiene	bien,
gallinas	gallinas	y
~,	~,	bueno,
tiene	tiene	los
conejos	conejos	povos
~,	~,	estos
tiene	tiene	que
de	de	tenemos
todo	todo	que
~.	~.	vivir
[HS:E1	[HS:E1	así,
		[Asent]			[Asent]	porque
~.	~.	batanás
		]			]	un
Tiene	Tiene	pobo
miel	miel	grande,
~,	~,	tiene
tiene	tiene	ya
de	de	tiendas,
todo	todo	tiene
~,	~,	todo,
el	el	aquí
cura	cura	no
~.	~.	tenemos
[HS:E1	[HS:E1	ninguna,
		[Asent]			[Asent]	tiendas
~.	~.	de
		]			]	nada,
Y	Y	ya
~…	~…	lo
ya	ya	tenía
digo	digo	mi
~,	~,	cuñado,
y	y	que
si	si	es
dices	dices	el
~:	~:	delvar,
«~	«~	y
Oye	Oye	se
~,	~,	murió,
súbeme	súbeme	ya
un	un	si
conejo	conejo	vienen
~»	~»	por
~.	~.	ahí
Te	Te	vendiendo,
le	le	el
sube	sube	pesjatero
~.	~.	que
[HS:E1	[HS:E1	viene
		[Asent]			[Asent]	los
~.	~.	mielcoles
		]			]	y
A	A	los
como	como	mielcoles,
sea	sea	y
te	te	los
~,	~,	mielles,
te	te	por
venden	venden	la
un	un	mañana,
conejo	conejo	el
~.	~.	panadero
[HS:E1	[HS:E1	que
		[Asent]			[Asent]	viene,
~.	~.	dos
Y	Y	panaderos
~…	~…	que
		]			]	vienen
Se	Se	por
vive	vive	la
bien	bien	mañana,
ya	ya	todos
digo	digo	días,
~.	~.	y
En	En	lo
los	los	que
pueblos	pueblos	traiga
estos	estos	por
~…	~…	ejemplo
que	que	de
tenemos	tenemos	fuera,
que	que	algunos
vivir	vivir	teranos
así	así	que
porque	porque	viene
Baltanas	Baltanas	vendiendo,
es	es	y
un	un	bien
pueblo	pueblo	vendiendo,
grande	grande	es
~,	~,
[HS:E1	[HS:E1
		Sí			Sí
~.	~.
		]			]
tiene	tiene
ya	ya
tiendas	tiendas
~,	~,
tiene	tiene
todo	todo
~.	~.
Aquí	Aquí
no	no
tenemos	tenemos
ni	ni
una	una
tienda	tienda
de	de
nada	nada
ya	ya
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Lo	Lo
tenía	tenía
mi	mi
cuñao	cuñao
~,	~,
que	que
es	es
el	el
del	del
bar	bar
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
y	y
se	se
murió	murió
[HS:E1	[HS:E1
		Pues			Pues
ya	ya
nada	nada
~.	~.
Claro	Claro
~.	~.
		]			]
y	y
ya	ya
nadie	nadie
~,	~,
ya	ya
si	si
vienen	vienen
por	por
ahí	ahí
vendiendo	vendiendo
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
el	el
pescatero	pescatero
~,	~,
que	que
viene	viene
los	los
miércoles	miércoles
y	y
los	los
viernes	viernes
por	por
la	la
mañana	mañana
~.	~.
[V-Ljn]	[V-Ljn]
El	El
panadero	panadero
que	que
viene	viene
~|	~|
dos	dos
panaderos	panaderos
que	que
vienen	vienen
~,	~,
por	por
la	la
mañana	mañana
todos	to
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
los	los
días	días
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Y	Y
~…	~…
~,	~,
y	y
[V-Ljn]	[V-Ljn]
lo	lo
que	que
traigan	traigan
por	por
ejemplo	ejemplo
de	de
fuera	fuera
~,	~,
algún	algún
hortelano	hortelano
~,	~,
que	que
viene	viene
[HS:E1	[HS:E1
		De			De
vez	vez
en	en
cuando	cuando
~.	~.
		]			]
vendiendo	vendiendo
fruta	fruta
~.	~.
Claro	Claro
~.	~.
