estandar	dialectal	whisper
No	No	ому
~,	~,	pertene
no	no	y
muelen	muelen	damos
~,	~,	bosques
los	los	es
molinos	molinos	como
no	no	se
muelen	muelen	pasa
~,	~,	a
porque	porque	mí
hoy	hoy	yo
no	no	son
hay	hay	unos
~…	~…	las
~,	~,
no	no
hay	hay
grano	grano
para	para
moler	moler
aquí	aquí
[HS:I3	[HS:I3
		Está			Está
todo	todo
abandonado	abandonao
~,	~,
pero	pero
se	se
pueden	pueden
hacer	hacer
una	una
idea	idea
de	de
cómo	cómo
era	era
~.	~.
		]			]
pero	pero
bueno	bueno
~,	~,
están	están
allí	allí
ellos	ellos
~,	~,
están	están
allí	allí
~,	~,
como	como
se	se
molía	molía
hace	hace
tiempo	tiempo
~.	~.
