estandar	dialectal	whisper
Sí	Sí	Sí,
~,	~,	sí.
sí	sí	Y
~.	~.	por
Los	Los	favor,
abuelos	abuelos	se
hablan	hablan	ha
gallego	gallego	buen
~,	~,	sal
y	y	a
todo	todo	la
eso	eso	calle.
~,	~,	Y
pero	pero	voy,
claro	claro	es
~,	~,	super
[R-Glp]	[R-Glp]	claro.
eh	eh	Las
~…	~…	universidades,
las	las	los
universidades	universidades	jalejos,
~,	~,	y
los	los	todo
colegios	colegios	eso,
y	y	hay
todo	todo	una
eso	eso	parte
hay	hay	que
una	una	se
parte	parte	defiende
que	que	la
se	se	llego,
defiende	defiende	pero
el	el	la
gallego	gallego	mayoría
~,	~,	es
pero	pero	todo
la	la	castellano.
mayoría	mayoría	De
es	es	hecho,
todo	todo	yo
en	en	le
castellano	castellano	hablé
~.	~.	en
[HS:E1	[HS:E1	gallego
		[Asent]			[Asent]	y
~.	~.	castellano,
		]			]	porque
De	De	yo
hecho	hecho	sabía
~,	~,	que
yo	yo	si
[OTRAS-EM]	[OTRAS-EM]	va
le	le	a
hablé	hablé	colegio
en	en	no
gallego	gallego	quería
y	y	que
en	en	tuviera
castellano	castellano	el
porque	porque	problema,
yo	yo	debería
sabía	sabía	las
que	que	imaturas
si	si	en
iba	iba	castellano
al	al	y
colegio	colegio	que
no	no	no
quería	quería	lo
que	que	se
tuviera	tuviera
el	el
problema	problema
de	de
tener	tener
asignaturas	asignaturas
en	en
castellano	castellano
y	y
[Rndo:	[Rndo:
		que			que
no	no
las	las
entendiera	entendiera
		]			]
~.	~.
