estandar	dialectal	whisper
Bueno	Bueno	No,
~,	~,	porque
pues	pues	eso
esa	esa	se
se	se	coge,
coge	coge	pero
~,	~,	es
pero	pero	que
se	se	se
~|	~|	coja
es	es	ella.
que	que	Entonces,
se	se	nosotros
cuaja	cuaja	yo
~,	~,	antes
ella	ella	yo
~…	~…	no
[HS:E1	[HS:E1	me
		~¡~			~¡~	ha
Ah	Ah	tocado
~!	~!	la
		]			]	perante,
porque	porque	es
nosotros	nosotros	que
~,	~,	me
yo	yo	ha
antes	antes	dado
~,	~,	a
yo	yo	los
no	no	que
mato	mato	yo
ahora	ahora	lo
~,	~,	da
pero	pero	ponía
antes	antes	en
que	que	la
matábamos	matábamos	etapa,
pues	pues	se
yo	yo	la
lo	lo	manteca
de-	de-	o
~,	~,	en
ponía	ponía	una
en	en	olla
latas	latas	de
la	la	por
manteca	manteca	delano
~,	~,	grande,
o	o	y
en	en	luego
una	una	cuando
olla	olla	me
de	de	hacía
porcelana	porcelana	falta,
grande	grande	pues
~…	~…	iba
y	y	el
luego	luego	cojón
cuando	cuando	poquito
me	me	y
hacía	hacía	hacía
falta	falta	lo
~,	~,	todo
pues	pues	que
iba	iba	había
y	y
cogía	cogía
un	un
poquito	poquito
~,	~,
y	y
hacía	hacía
lo	lo
que	que
quería	quería
con	con
ella	ella
y	y
eso	eso
~…	~…
