estandar	dialectal	whisper
¿~	¿~	El
Al	Al	siguiente,
día	día	después
siguiente	siguiente	de
~?	~?	la
~,	~,	hora,
¿~	¿~	bueno,
luego	luego	pues
después	después	mira,
de	de	los
la	la	hijos
boda	boda	saben,
~?	~?	así
Bueno	Bueno	que
~,	~,	a
pues	pues	los
mira	mira	jóvenes,
~,	~,	a
los	los	sacar
~,	~,	los
los	los	novios,
~,	~,	a
los	los	ver
chicos	chicos	dónde
jóvenes	jóvenes	estaban,
y	y	de
las	las	hecho
chicas	chicas	la
jóvenes	jóvenes	petaca
~,	~,	y
a	a	en
sacar	sacar	la
a	a	cama,
los	los	la
novios	novios	vía
si	si	ancha
sabían	sabían	o
dónde	dónde	a
estaban	estaban	robo,
~,	~,	la
le	le	vía
habían	habían	echa
hecho	hecho	agua,
la	la	si
petaca	petaca	sabían
en	en	dónde
la	la	sabían
cama	cama	a
~,	~,	piscar,
[RISA]	[RISA]	normalmente
le	le	todo
habían	habían	los
echao	echao	novios
arroz	arroz	no
~,	~,	sabían
le	le	dónde
habían	habían	estábamos,
echao	echao	los
agua	agua	novios
~,	~,	metidos,
si	si	porque
sabían	sabían	todo
dónde	dónde	el
se	se	sentido
habían	habían	otro
acostao	acostao	problema,
~.	~.	entonces
Normalmente	Normalmente	la
~,	~,	cama
[HS:I2	[HS:I2	del
		No			No	novio
los	los	que
dejaban	dejaban	nos
~,	~,	echara
¿~	¿~	porque
eh	eh	había
~?	~?	hasta
~,	~,	cristales
no	no	incluso,
los	los	o
dejaban	dejaban	sea
~.	~.	que
		]			]	todo
procuraban	procuraban	lo
todos	todos	que
los	los	hubiera
novios	novios	habido
no	no	para
saber	saber	que
dónde	dónde	no
~,	~,	se
dónde	dónde	podía
estaban	estaban	la
los	los	costa
novios	novios	y
metidos	metidos	en
~,	~,	la
porque	porque	manera
entonces	entonces	así,
~,	~,	los
menudo	menudo	primeritos,
problema	problema	que
~,	~,	foren
¿~	¿~	a
no	no	виде
~?	~?	de
~,	~,	los
e-	e-	novios,
~,	~,	después
entonces	entonces	donde
ya	ya	estaba
la	la	cómo
cama	cama	están,
del	del	me
novio	novio	לא
que	que	haz
no	no	nada
se	se	parawny,
echara	echara	con
~,	~,	una
porque	porque	manera假a
allí	allí	optada,
había	había	para
hasta	hasta	Park,
cristales	cristales	cuando
incluso	incluso	no
~,	~,	te
[HS:E1	[HS:E1	darán,
		~¡~			~¡~	pues
Uf	Uf	ellos
~!	~!	sacarlos,
		]			]	me
o	o	dieron
sea	sea	darle
que	que	a
~,	~,	la
que	que	tausa
todo	todo
lo	lo
que	que
hubiera	hubiera
habido	habido
pa	pa
que	que
no	no
se	se
pudieran	pudieran
acostar	acostar
~.	~.
Y	Y
en	en
la	la
mañana	mañana
sí	sí
~,	~,
los	los
primeritos	primeritos
que	que
en	en
~…	~…
~|	~|
iban	iban
a	a
buscar	buscar
a	a
los	los
novios	novios
~,	~,
a	a
ver	ver
dónde	dónde
están	están
~,	~,
o	o
cómo	cómo
están	están
~,	~,
de	de
alguna	alguna
manera	manera
los	los
buscaban	buscaban
~,	~,
para	para
~,	~,
para	para
~,	~,
pa	pa
si	si
los	los
encontraban	encontraban
~,	~,
pues	pues
ellos	ellos
sacarlos	sacarlos
~,	~,
pues	pues
~,	~,
pues	pues
darle	darle
la	la
lata	lata
~,	~,
o	o
sea	sea
que	que
~…	~…
[R-Inf]	[R-Inf]
