estandar	dialectal	whisper
Y	Y	Y
antes	antes	antes,
~…	~…	ahora
~¡~	~¡~	había
Oy	Oy	muchísimo.
~,	~,	Había
había	había	algo
muchísimos	muchísimos	muy
~!	~!	treinta
Uhh	Uhh	o
~…	~…	cuarenta,
Había	Había	no
a	a	está
lo	lo	por
mejor	mejor	lo,
treinta	treinta	menúdne.
o	o	Para
cuarenta	cuarenta	alguien...
en	en	Había
este	este	mucho...
pueblo	pueblo	Mucho.
~,	~,	Que
de	de	bueno,
niños	niños	que
~.	~.	será
Pero	Pero	todo
ahora	ahora	lo...
ya	ya	Todo
no	no	el
~,	~,	jefe
ahora	ahora	de
ya	ya	joven
es	es	se
mucho	mucho	va
~…	~…	a
~,	~,	el
mucho	mucho	pueblo.
~…	~…	Eh,
Que	Que	no
~,	~,	sé
bueno	bueno	si
~,	~,	dice
que	que	knitting
se	se	una
va	va
to	to
~,	~,
to	to
~,	~,
toa	toa
la	la
gente	gente
joven	joven
se	se
va	va
del	del
pueblo	pueblo
~.	~.
