estandar	dialectal	whisper
Ay	Ay	Ay,
~,	~,	si
si	si	es
es	es	un
mu	mu	majo.
majo	majo	A
~.	~.	ver
[HS:I2	[HS:I2	si
		Ay			Ay	te
~,	~,	crees
hija	hija	tu
~.	~.	que
		]			]	lo
A	A	vendes.
ver	ver	No
si	si	te
te	te	creas
crees	crees	tu
tú	tú	que
que	que	lo
lo	lo	jane.
vendes	vendes	¿Qué
~.	~.	es
[V-Sml]	[V-Sml]	mi
No	No	hijo
~,	~,	pero
hija	hija	es
~.	~.	mi
[HS:I2	[HS:I2
		Que			Que
ya	ya
es	es
muy	muy
mayor	mayor
~,	~,
hija	hija
~,	~,
ya	ya
es	es
muy	muy
mayor	mayor
~.	~.
		]			]
[RISA]	[RISA]
No	No
te	te
creas	creas
tú	tú
que	que
~…	~…
~,	~,
que	que
lo	lo
ganas	ganas
~.	~.
No	No
~,	~,
no	no
~,	~,
no	no
~,	~,
no	no
~.	~.
Que	Que
es	es
mi	mi
hijo	hijo
~,	~,
pero	pero
es	es
mi	mi
hijo	hijo
~.	~.
