estandar	dialectal	whisper
Que	Que	Tenía
era	era	un
de	de	dueño
tela	tela	stirring,
~,	~,	ahora
pero	pero	no
que	que	lo
le	le	ganaba,
llevaba	llevaba	ni
un	un	Panthera
buen	buen	cuando
ganchillo	ganchillo	te
y	y	ll
cosas	cosas	youngest
y	y	pra
~…	~…	éla
bueno	bueno	mastery—
~,	~,	Aah,
es	es	removing
que	que
no	no
hace	hace
mucho	mucho
que	que
oí	oí
yo	yo
esa	esa
~…	~…
Tenía	Tenía
yo	yo
idea	idea
que	que
la	la
tenía	tenía
	
Anonimizado	Anonimizado
	
~,	~,
o	o
sea	sea
[A-Inn]	[A-Inn]
~,	~,
[HS:I1	[HS:I1
		Me			Me
tocó	tocó
[A-Nul]	[A-Nul]
~.	~.
		]			]
que	que
la	la
había	había
hecho	hecho
me	me
parece	parece
que	que
usted	usted
~.	~.
