estandar	dialectal	whisper
Era	Era	y
una	una	anda
aventura	aventura	a
~,	~,	venir
sí	sí	a
~.	~.	enteros
Y	Y	con
~,	~,	un
anda	anda	mulo
~,	~,	y
que	que	los
venir	venir	payasos
aceiteros	aceiteros	de
con	con	aceite
un	un	y
mulo	mulo	que
y	y	te
dos	dos	rezo
pellejos	pellejos	a
de	de	ir
aceite	aceite	los
y	y	guardias
~:	~:	hoy
«~	«~	eso
Los	Los	es
guardias	guardias	la
~,	~,	gente
los	los	del
guardias	guardias	pueblo,
~»	~»	los
~.	~.	guardias
Y	Y	sin
oye	oye	cualquier
~,	~,	corral
eso	eso	se
sí	sí	metieron
~,	~,	en
la	la	el
gente	gente	mundo
del	del	con
pueblo	pueblo	la
~,	~,	carga
los	los	un
guardias	guardias	chico
~,	~,	joven
en	en	se
cualquier	cualquier	acuerdas,
corral	corral	señor
~,	~,	Ángel,
se	se	por
metía	metía	esta
el	el	calle
mulo	mulo	para
con	con	abajo
la	la	y
carga	carga	encima
~,	~,	oyendo
con	con	de
un	un	los
chico	chico	guardias
joven	joven	en
~.	~.	el
[HCruz:	[HCruz:	mundo,
		¿~			¿~	le
Se	Se	metieron
acuerda	acuerda	en
~,	~,	el
señora	señora	mundo
		y
Anonimizado	Anonimizado	luego
		al
~?	~?	mundo
		]			]	le
Que	Que	dieron
por	por	el
esta	esta	toro,
calle	calle	el
pa	pa	pueblo
abajo	abajo	le
~,	~,	metió
y	y	el
encima	encima	burro
~,	~,	por
huyendo	huyendo	la
de	de	barriosa,
los	los	por
guardias	guardias	yo
~,	~,	el
en	en	mulo
el	el	me
~,	~,
un	un
corral	corral
le	le
metieron	metieron
el	el
mulo	mulo
~,	~,
y	y
luego	luego
al	al
mulo	mulo
le	le
dio	dio
un	un
~…	~…
~,	~,
el	el
toro	toro
del	del
pueblo	pueblo
le	le
metió	metió
el	el
cuerno	cuerno
por	por
la	la
barriga	barriga
y	y
se	se
murió	murió
el	el
~,	~,
el	el
mulo	mulo
~.	~.
